Middle Initial,n
A,34642
B,10477
C,17233
D,15988
E,19262
F,6274
G,8696
H,7570
I,3074
J,26571
K,9500
L,23077
M,34645
n,42
N,112118
O,2320
P,9337
Q,409
R,19108
S,15342
T,8882
U,299
V,3007
W,7867
X,373
Y,1911
Z,779
