MEETING_ROOM,n
5th fl,1
5th floor,1
60,2
6019,2
6020,5
6025,11
6027,3
6030,21
6037,2
6039,2
6043,5
6050,1
6069,1
6079,19
61,12
61.5,41
62,199
6201,4
6208,2
6235,2
6336,2
65,19
66,1
67,22
68,50
69,21
7,10
7-228,2
70,16
7001,2
7002,8
7013,31
7025,5
7026,3
71,7
7114,7
712,3
712 jackso,3
712 jackson pl,1
712 jackson pl nw,2
712 jackson place,33
712 jackson place 3r,15
712 jackson place nw,81
71246,1
712n jackson place,1
716,17
716 jackson place ro,1
716jp room 103,5
7202,1
7208,2
7215,11
7216,1
7217,7
7228,11
7235,4
7236,12
730,13
730 conference rm,10
730 conference room,4
730 jackso,96
730 jackson pl,4
730 jackson pl - 1st,4
730 jackson place,186
730 jackson place 1s,9
730 jackson place 2n,1
730 jackson place ba,11
730 jackson place co,9
730 jackson place fi,1
730 jp,87
730 jp 1s,3
730 jp 3rd floor,1
730 jp first floor c,3
730 place,7
734 jackson pl - 2nd,2
734 jp,5
734 jp 2nd,3
736,33
736 jackso,4
736 jackson place 2n,1
736 jp,26
736jp,2
74,5
76,264
76a,3
77,21
77/79,1
78,10
79,132
79 & 13,1
7th floor,3
8,3
80,97
8001,11
8002,8
8013,1
8025,2
8026,7
81,5
8116,5
8202,10
8211,51
8211 and 4208,2
8211 war room,4
8215,1
8223,2
8225,7
8235,3
8236,7
85,2
86,12
88,73
89,6
90,3
9001,102
9002,5
9003,4
9005,2
9006,1
9008,1
9009,2
9010,3
9011,10
9011b,4
9012,14
9014,9
9016,1
9018,11
9020,5
9025,3
9030,9
9031,1
9040,1
9044,5
9047,11
9058,1
91,2
9113,1
92,1
9201,1
9210,1
9211,2
9217,4
9218,6
9220,1
9226,1
9230,2
9234,4
9235,1
9236,5
9238,4
9240,3
9241,1
9243,1
9258,179
9264,1
9268,12
9270,6
9274,1
93,1
94,149
9528,2
96-whmu me,3
97,556
97-whmu cl,6
97-whmu me,4
97 - whmu,2
97 covid,1
97 medical,1
97 whmu,17
9th floor,16
a1,1
airops rm,3
all,3
aphsa office,1
apnsa offi,5
apnsa office,6
apnsa suit,16
apnsa sullivan suite,4
b-27 res,3
b01,2
b1 carpent,1
b19,4
b25,130
badge issuance,1
badge office,2
badge room,1
badging of,1
balcon,1
basement,213
basement and first f,54
basement bowling all,19
basement first floor,46
basement/ 1st floor,4
basement/1,19
basement/1st floor,19
basement/2,1
basement/first floor,4
basement/holiday ten,38
basement/p,6
basement/pool deck,2
bh,1
blair hous,1
blair house conf fac,8
bldg 16,2
bldg 19,16
bldg 19 201,16
bldg 19 parking lot,1
bldg 91,4
bldg. 19,3
blue room,1
bookseller,1
bowling,2
bowling alley,30
bowling alley - 037,4014
br,23
brian deeses office,1
briefing,1
briefing r,74
briefing room,14
british em,1
brs office,1
bruce reeds office,1
building 1,39
building 16,6
building 19,14
building 5,1
building 9,1
building 91,2
cabinet,4
cabinet affairs balc,9
cabinet ro,4
cabinet room,57
cabinet room - ww,20
cafe,9
cafeteria,24
ceremonial,123
ceremonial office,32
chief ushe,4
clinic,15
conf. room 730 1st f,16
conference,2
conference rm 3015,1
conference room,24
conference room - 73,4
conference room 1st,1
conference room 730,11
conference room 734,5
cordull ha,1
court yard,8
courtyard,91
cr 3015,10
cr neob 9258 cr jpo,52
cr neob ocso 4208,4
cr omb eeo,1
cr3015,2
curator st,4
dining room,1
dip recept,1
dip reception,23
dip reception room,25
dip reception room a,47
dip reception room r,7
dip room,34
dip. reception room,23
diplomatic,192
diplomatic 210/12,2
diplomatic conferenc,11
diplomatic reception,340
diplomatic room,12
driver - staying in,1
driver drop-off,1
driveway,4
drop at we,1
drop off at p1,5
drop off at post 1,8
drop off by p1,2
e102,1
e102 ew,8
e2026,54
east ballr,14
east ballroom,10
east exec,46
east exec drive,1
east exec parking,11
east execu,51
east executive ave,1
east executive drive,12
east garag,2
east lobby,1
east portico south d,3
east recep,27
east reception,14
east reception / sou,2
east reception room,16
east room,3163
east room-,3
east room-res,17
east room-residence,1
east tradesman resid,1
east wing,344
east wing-,10
east wing- res,6
east wing - east rec,7
east wing - res,27
east wing - residenc,2
east wing -res,5
east wing 102,4
east wing 208,4
east wing 216,5
east wing 218,1
east wing 222cd and,18
east wing 226 / dipl,1
east wing east recep,1
east wing reception,2
east wing rm 216,6
east wing rm 6,2
east wing room 206,9
east wing room 208,8
east wing whmo 216 &,2
ebr,6
ee,1
eeob,57
eeob-whsr,1
eeob - 428,5
eeob - sms,2
eeob - sow,13
eeob - sow 230b,2
eeob 102,2
eeob 108,4
eeob 112,9
eeob 127,8
eeob 159,2
eeob 178,40
eeob 18,2
eeob 180a,11
eeob 184,3
eeob 187,1
eeob 188,3
eeob 188a,5
eeob 194,1
eeob 199,1
eeob 2010,2
eeob 210,2
eeob 210/2,128
eeob 212,48
eeob 226,15
eeob 228,3
eeob 230a,12
eeob 230b,6
eeob 236,4
eeob 238,10
eeob 250,1
eeob 252,3
eeob 264,2
eeob 274,1
eeob 276,11
eeob 302a,4
eeob 307,3
eeob 319,1
eeob 320,1
eeob 330,3
eeob 333,1
eeob 343,5
eeob 344,9
eeob 350,128
eeob 353,2
eeob 355,1
eeob 374,69
eeob 374 whsr,1
eeob 380,1
eeob 386,1
eeob 422,6
eeob 428,17
eeob 430,1
eeob 432,2
eeob 442,6
eeob 445,21
eeob 460,4
eeob 472,2
eeob 474,87
eeob 476,3
eeob 490,6
eeob 60,8
eeob 68,4
eeob 71,2
eeob 79,15
eeob 94,14
eeob 97,27
eeob 97 e,1
eeob 97 th,1
eeob bowling alley,19
eeob bowling alley -,19
eeob clini,25
eeob conf,8
eeob halloween,5
eeob medun,1
eeob n. court loadin,1
eeob rm 35,8
eeob rm 68,2
eeob rm 82,2
eeob rm. 4,2
eeob room,14
eeob sms 374,1
eeob sms l,9
eeob sow 2,1
eeob sow 228,16
eeob sow 230a,18
eeob sow 230b,2
eeob tour,12
eeob whmu,4
eeob/ew,4
eeob/southlawn,1
eeob120,2
eeob18,1
eeob217,4
eeob230b,3
eeob350,2
electric s,2
electric shop,5
ellipse,354
ellipse pa,1
enter ww,9
eob 159,2
eob 226,2
eob 228,2
eob 428,4
eob 476,1
eob 97,4
err,1
et4,1
ew,384
ew- map room,8
ew- mezannine,25
ew- res,1
ew-1-19,11
ew-208,1
ew-exr,36
ew-reception room,3
ew-res,2617
ew-res/eeob,3
ew-res/southlawn,6
ew-res/southlawn/eeo,9
ew-tour,15
ew - 107,1
ew - 208,6
ew - east,11
ew - east reception,5
ew - julis,1
ew - res,37062
ew - res - ww,2
ew - south lawn / ea,2
ew - state,4
ew - state floor,50
ew - state room,9
ew - tour,1
ew - visit,3
ew - wh,1
ew -east r,3
ew -res,1
ew & pfs,2
ew & res,5
ew & south,26
ew / res,8
ew 1-16,4
ew 1-19,22
ew 1-8,2
ew 106,7
ew 107 and,1
ew 108,6
ew 118,9
ew 119,1
ew 121,1
ew 129,9
ew 13-800,1
ew 2-5,19
ew 200,6
ew 201,1
ew 202,2
ew 204,12
ew 204/sou,1
ew 206,137
ew 207,1
ew 208,143
ew 209,4
ew 211,3
ew 212,1
ew 216,6252
ew 217,50
ew 218,5
ew 219,3
ew 220,2
ew 221,4
ew 222,1
ew 223,16
ew 225,17
ew 226,11
ew 227,18
ew 228,9
