MEETING_ROOM,n
ww 145,101
ww 152,59
ww 153,40
ww 1st floor,12
ww 2 floor,2
ww 202,100
ww 203,5
ww 205,80
ww 206,137
ww 206 and oval offi,2
ww 206/20,70
ww 206/207,17
ww 206/208,47
ww 208,30
ww 208/206,1
ww 209,85
ww 210,471
ww 211,41
ww 212,47
ww 213,12
ww 214,29
ww 215,7
ww 216,1
ww 217,112
ww 218,4
ww 220,2
ww 221,31
ww 221 + s,3
ww 223,113
ww 225,57
ww 226,1
ww 230a,4
ww 2nd floor,18
ww 47,4
ww 66,1
ww 72,6
ww 74,2
ww apnsa office,1
ww apnsa s,5
ww apnsas office,1
ww brady briefing ro,36
ww briefin,55
ww briefing room,11
ww cos office,3
ww east r,1
ww east ro,1
ww east room,8
ww east roomn,2
ww entry,2
ww ew re,5
ww ew res,1
ww g-37,2
ww g-58,1
ww g-74,105
ww g-74 nsc lower su,1
ww g 37,2
ww g 50,1
ww g37,5
ww g40,8
ww g47,298
ww g48,51
ww g49,4
ww g50,141
ww g58,1
ww g59,16
ww g62,2
ww g66,21
ww g67,2
ww g68,5
ww g68 &,4
ww g68 & e,1
ww g74,77
ww g74 lower suite,1
ww g78,1
ww gg 74,1
ww gh,1
ww hsa off,3
ww jfk,28
ww jfk conference ro,16
ww lobby,432
ww lobby &,13
ww lobby and oval of,7
ww lobby/w,1
ww lower press,3
ww lower suite,3
ww mess,3
ww mess pick up,2
ww navy me,3
ww navy mess,31
ww north l,2
ww nsa sui,1
ww nsa sul,1
ww nsc 101,4
ww nsc sui,1
ww nsc suite,2
ww oval,43
ww oval a,1
ww oval o,34
ww oval of,56
ww oval office,17
ww oval su,1
ww pdnsa suite,4
ww pebble,4
ww pebble beach,1
ww photo o,1
ww post e1,10
ww press b,6
ww press briefing ro,50
ww res,4
ww rm 132,2
ww rm#140,1
ww room 122,1
ww room 13,1
ww room 20,1
ww roosev,21
ww rooseve,158
ww roosevelt,2
ww roosevelt room,130
ww sit roo,1
ww sitroom,81
ww situat,8
ww situati,55
ww situation room,59
ww south lawn,6
ww state p,2
ww tour,16
ww upper press,3
ww upper suite,10
ww vip lob,2
ww vp off,4
ww vp offi,6
ww vpo,1
ww vps office,1
ww ward ro,8
ww ward room,7
ww west ex,1
ww wh lobb,1
ww white,5
ww white h,4
ww white house navy,1
ww white house situa,1
ww whsr,311
ww whsr breakout roo,1
ww whsr co,1
ww whsr e,44
ww whsr ex,49
ww whsr exec,3
ww whsr j,7
ww whsr jf,5
ww whsr jfk,6
ww ww lobb,33
ww/ comms room,2
ww/124,1
ww/145,8
ww/210,2
ww/221,2
ww/cabinet room,1
ww/cos 122,1
ww/lobby,2
ww/navy me,2
ww/navy mess,4
ww/oval of,1
ww/rm68,1
ww/rooseve,5
ww/roosevelet room,8
ww/roosevelt room,4
ww/rose ga,17
ww/sit roo,1
ww/sitroom,7
ww/situati,4
ww/vp ww office,5
ww/vpo,1
ww/vpotus office,1
ww/vpotus ww ofc,3
ww/whsr,11
ww/whsr ex,15
ww: 108,8
ww: apnsa suite,1
ww: lobby,36
ww: oval,55
ww: oval a,11
ww: oval e,1
ww: oval o,16
ww: roosev,180
ww: west w,3
ww: whsr,2
ww: ww lob,30
ww_whsr,1
ww103,1
ww106,1
ww108,6
ww116,5
ww120,64
ww121,98
ww122,10
ww124,1
ww126,3
ww132,23
ww140,15
ww145,91
ww152,27
ww153,47
ww18,11
ww1a,2
ww1b,2
ww201,8
ww202,134
ww203,2
ww205,75
ww206,127
ww207,9
ww208,30
ww209,14
ww210,46
ww211,75
ww212,62
ww213,243
ww214,5
ww217,19
ww218,20
ww220,2
ww221,6
ww223,19
ww225,1
ww37,61
ww49,5
ww66,14
ww67,1
ww68,6
wwfl1,3
wwflr1,4
wwg37,15
wwg40,10
wwg47,4
wwg49,3
wwg68,1
wwg74,1
wwlobby,2
wwmess,25
wwob sow 236,2
wwsr,1
wwt,5
