POD,n
A01,572
A0101,467
A04,675
A0401,121
A05,12656
A0501,205
B04,30890
B0401,1104
B0402,34
B1101,3
D03,2930
D03A,10
D1101,60
D1102,6
K01,3437
K0101,28
K0102,26
K0103,30
K0104,32
K0501,3
VP001,3
VP005,16
NA,345495
