NAMEMID,n
a,24229
b,7386
c,12236
d,11386
e,13514
f,4356
g,6034
h,5362
i,2151
j,19060
k,6814
l,16232
m,24243
n,75244
o,1594
p,6472
q,250
r,13459
s,10745
t,6215
u,198
v,2000
w,5711
x,247
y,1379
z,559
