POD,n
A01,452
A0101,418
A04,558
A0401,109
A05,9968
A0501,181
B04,24629
B0401,1072
B0402,22
B1101,3
D03,2376
D03A,10
D1101,46
D1102,2
K01,2911
K0101,28
K0102,26
K0103,25
K0104,25
K0501,3
VP001,3
VP005,7
NA,234202
