Total People,n
1,21971
10,4697
100,781
102,101
103,103
104,420
106,294
108,216
109,215
11,3010
111,109
112,435
113,338
115,228
1157,1154
117,117
1181,1165
119,119
12,3440
121,91
122,122
124,122
126,252
128,126
13,2373
135,135
136,268
1373,1344
139,139
14,2206
140,136
141,282
146,288
149,143
15,2114
150,150
151,142
1547,1418
156,156
159,159
16,1903
160,158
163,160
168,161
169,321
1696,1658
17,1701
171,161
1710,1099
175,161
176,177
179,170
18,1781
182,233
183,164
19,1794
196,348
198,194
2,27457
20,2546
201,194
208,205
21,1205
211,237
213,209
214,212
2162,1660
218,213
22,1319
229,229
23,1008
230,212
24,1081
2424,1825
25,1117
254,246
26,955
27,1147
271,224
28,818
29,1194
3,22118
30,1574
301,299
302,297
31,869
312,266
313,285
32,976
321,317
327,320
329,314
33,653
34,716
349,342
35,855
357,342
36,631
366,297
37,478
370,360
374,363
376,366
38,303
39,544
4,30247
40,1037
41,368
414,401
42,868
420,398
43,333
430,421
438,332
44,611
4478,4340
448,433
449,440
45,538
46,433
47,369
48,747
49,1319
5,20642
50,1746
502,502
51,405
511,402
517,377
52,255
53,368
54,322
55,381
56,417
562,562
57,394
58,290
59,155
6,24548
60,649
61,241
62,122
621,576
63,251
64,236
643,1286
65,189
66,528
67,313
68,252
69,348
7,7575
70,482
703,703
71,447
72,415
73,581
74,418
75,251
76,278
77,342
78,714
79,381
8,5520
80,633
802,782
81,336
82,398
827,622
83,571
84,416
840,757
85,533
86,333
87,348
870,702
88,268
89,432
9,4278
90,148
91,286
92,91
93,93
94,319
95,374
96,315
961,751
97,664
98,584
99,679
NA,43
