POD,n
A01,1269
A0101,623
A04,1315
A0401,207
A05,38052
A0501,506
B04,77837
B0401,1210
B0402,35
B1101,3
D03,7156
D0301,48
D03A,10
D1101,161
D1102,11
K01,8237
K0101,28
K0102,26
K0103,71
K0104,101
K0501,3
VGILL,1
VMAIN,64
VP001,10
VP005,25
VP013,11
NA,1170532
