MEETING_ROOM,n
#69,1
#name?,2
.,1
0094 0097,2
012 & 088,9
012 095,2
015 018,1
018 and 089,9
026/445,5
026b 053 095,1
027 - didl,1
027 - didlake office,2
027 didlake office,6
027-didlake office,2
037 bowling alley,13
059 & 062,1
059/062,1
065 045 337 339,14
089 and et4,4
089/018,2
089/044,3
08b,28
1,3813
1-a,1
10,11
100,184
100 res,1
1000,2
10000,3
10001,14
10002,8
100029,4
10003,1
100034,5
10005,2
10006,2
10007,2
10008,5
10009,6
10010,15
10011,3
10012,47
10014,2
10015,1
10017,6
10018,2
10019,15
10020,42
10021,1
10022,19
10023,25
10024,2
10025,1
10027,6
10028,2
10029,119
10030,2
10031,99
10033,200
10034,14
10035,1
10036,2
10038,3
10041,1
10043,7
10044,5
10045,1
10046,13
10047,6
10052,6
10054,9
10056,1
100a,2
101,147
101a,1
102,14
1020,1
10201,7
10202,58
10207,20
10209,35
10212,3
10214,10
10216,2
10218,3
10220,2
10228,4
10230,2
10232,6
10234,1
10236,6
10239,1
10242,3
10244,8
10248,1
10251,1
10252,1
10256,20
10258,726
10260,1
10261,8
10264,1
10268,4
10270,25
10272,3
10276,1
10292,1
103,7
104,25
104a,25
105,8
106,31
107,201
1078,1
108,341
108a,84
108b,114
109,90
10th floor,22
10th floor conferenc,1
10th floor secure wi,2
110,50
110-115,9
11023,1
111,3
112,310
112a,14
113,3
114,129
115,445
115 / usher's office,13
115a,13
115b,12
116,410
117,1
118,31
118c,4
12,28
120,59
120 and ma,2
121,14
122,603
123,17
124,99
124 vps office,3
125,62
125b,1
125c,10
126,735
126/bowling alley,23
127,29
127c,4
128b,1
129,6
129ab,1
13,12
130,140
130a,1
130b,2
132,1594
132 a,9
132 ww,4
132a,2
134,127
135,28
135b,5
136,102
137,11
137b,11
138,236
138/navy steps,2
139,9
13a,3
14,84
140,171
140 / pres,2
141,23
142,52
142b,2
143,229
143a,5
143b,2
143c,39
144,362
144a,14
145,53
146,24
147,22
148,19
148b,2
149,38
15,22
1500,1
151,18
152,121
153,32
155,1
156,12
157,21
158,28
159,444
159/160,1
16,35
160,1684
160 a,36
160 balcony,2
160a,380
161,257
161.5,8
162,12
162a,9
162b,5
163,38
164,63
164a,2
164b,1
165,43
166,29
167,90
168,39
169,1
17,37
170,302
171,10
172,115
173,38
174,4
175,6
176,712
176a,1
177,23
177a,2
178,2623
178 & 350,2
179,120
17th & pen,2
17th/penn,2
18,293
18 id badge office,1
18 usss pass office,1
18 ww,3
180,660
180 a,34
180 balcony,33
180-a,5
1800 g st,2
180a,2565
180b,1
181,50
182,25
183,75
184,8
185,32
187,64
188,55
188a,19
189,110
18a,6
18ww,64
19,77
19-jan,1
190,46
191,3
191b,3
192,124
193,29
194,62
194b,1
195,8
196,9
197,40
198,68
199,82
1b29,5
1st fl,4
1st fl conference ro,8
1st fl.,1
1st fl. conference r,15
1st floor,25
1st floor collaborat,2
1st floor lounge,1
1st floor navy mess,1
1st floor north end,1
1st floor north side,3
1st floor of residen,29
1st floor vpr,1587
1st floor vpr/poolsi,6089
1st floor walk throu,1
1st floor ww - nsa s,4
1st floor/basement,29
1st floor/front lawn,2
1st floor/holiday te,27
1st floor/pool deck,2
1st floor/poolside v,14
1st floor/tent,2
2,78
20,21
20-jan,1
200,559
2000,1
2008,3
201,8
201/212,12
201/bldg 19,1
2010,2
202,49
202-794-2443,1
2020,58
2020 neob,2
202a,100
202b,13
203 east wing,1
204,51
204a,3
205,165
206,491
207,8
208,131
208 - east wing,4
208 east wing,48
208 ew,9
209,23
21,115
210,2295
210 & 212,24
210-212,24
210/12,14
210/212,2220
210/212 di,23
210/212 diplomatic r,16
211,29
211 ew,8
212,5008
212 - diplomatic rec,34
212 diplomatic recep,45
212/210,4
2120,9
212a,30
213,30
214,23
215,1217
215/216,1
216,51
217,191
217 ww,1
218,22
219,6
219 ww,2
22,5
220,18
2200,18
2200b,1
220a,15
221,96
221 ww,1
2210,2
2211b,20
222,78
222b,4
223,21
224,17
225,19
226,2434
2264,6
226a,2
227,2
228,3791
228 sow,1
228428226230b,15
228a,5
229,11
23,1
230,805
230 a,70
230 aw,14
230 b,120
230-a,1
2303,2
2304,3
2308,1
230a,6848
230a sow,90
230b,2639
230b and sms,1
230sow,1
231,3
232,1
233,50
234,2312
234 b,2
234a,22
235,30
235a,2
235b,10
236,2433
236 and sms,1
236 sow,1
236b,7
236w,6
237,80
238,658
238sow,2
239,52
240,70
240b,5
241,9
242,64
242b,3
243,56
243 b,26
243b,2
243d,2
244,10
245,37
246,159
246a,2
247,2
248,868
249,6
25,431
25 airlift,1
250,39
251,56
251 eeob,1
252,758
252 b,10
252-b,1
2520,1
252b,419
253,42
254,4
255,3
256,30
257,1
258,169
259,2
26,4
260,667
261,80
262,71
263,136
264,239
264a,1
265,154
267,88
268,46
269,11
269a,1
27,65
270,36
271,22
272,305
273,140
274,449
275,19
276,1379
278,13
279,99
279a,10
280,118
280a,28
281,25
281a,3
282,104
283,8
284,72
285,9
286,85
287,75
288,24
289,35
29,4
290,16
291,411
292,41
294,37
294 and 291,3
296,493
298,259
2b,1
2nd,3
2nd cafeteria/3rd fl,1
2nd fl,1
2nd fl cafeteria,2
2nd fl cateria,1
