POA,n
A01,26
A0101,138
A04,48
A0401,104
A05,948
A0501,107
B04,2100
B0401,2631
B0402,5
D03,182
D0301,20
D03A,10
D1101,258
D1102,81
K01,258
K0101,201
K0102,138
K0103,4
K0104,2
K0501,4
SOS,180
VGILL,92
VMAIN,20
VP001,528
VP005,1655
VP013,9
VPR,11650
NA,1286153
