Event,n
231129,7
231979,11
HDG6DO,59
U00001,10
U00002,4
U00003,4
U00004,16
U00005,8
U00006,11
U00007,5
U00008,5
U00009,14
U00010,489
U00011,6
U00012,7
U00013,37
U00014,6
U00015,8
U00016,650
U00017,652
U00018,24
U00019,8
U00020,11
U00021,6
U00022,4
U00023,5
U00024,3
U00025,11
U00026,23
U00027,12
U00028,10
U00029,9
U00030,14
U00031,10
U00032,8
U00033,12
U00034,11
U00035,9
U00036,10
U00037,10
U00038,7
U00039,4
U00040,6
U00041,4
U00042,5
U00043,27
U00044,9
U00045,11
U00046,10
U00047,5
U00048,10
U00049,5
U00050,11
U00051,11
U00052,8
U00053,12
U00054,13
U00055,12
U00056,10
U00057,14
U00058,31
U00059,9
U00060,15
U00061,12
U00062,12
U00063,16
U00064,10
U00065,10
U00066,19
U00067,11
U00068,12
U00069,5
U00070,12
U00071,6
U00072,8
U00073,18
U00074,15
U00075,8
U00076,15
U00077,19
U00078,12
U00079,9
U00080,6
U00081,11
U00082,15
U00083,9
U00084,10
U00085,13
U00086,19
U00087,14
U00088,11
U00089,10
U00090,9
U00091,13
U00092,13
U00093,16
U00094,11
U00095,11
U00096,9
U00097,13
U00098,14
U00099,11
U00100,4
U00101,10
U00102,11
U00103,10
U00104,12
U00105,19
U00106,12
U00107,21
U00108,10
U00109,7
U00110,15
U00111,13
U00112,10
U00113,9
U00114,10
U00115,14
U00116,11
U00117,6
U00118,6
U00119,6
U00120,16
U00121,9
U00122,12
U00123,11
U00124,22
U00125,7
U00126,3
U00127,5
U00128,9
U00129,226
U00130,22
U00131,13
U00132,14
U00133,10
U00134,10
U00135,8
U00136,13
U00137,40
U00138,76
U00139,15
U00140,9
U00141,9
U00142,9
U00143,21
U00144,134
U00145,40
U00146,6
U00147,13
U00148,10
U00149,77
U00150,152
U00151,13
U00152,12
U00153,13
U00154,130
U00155,11
U00156,8
U00157,13
U00158,10
U00159,15
U00160,13
U00161,11
U00162,12
U00163,11
U00164,13
U00165,15
U00166,8
U00167,7
U00168,13
U00169,11
U00170,8
U00171,3
U00172,17
U00173,13
U00174,6
U00175,7
U00176,6
U00177,12
U00178,11
U00179,9
U00180,7
U00181,11
U00182,18
U00183,9
U00184,12
U00185,23
U00186,6
U00187,5
U00188,9
U00189,11
U00190,11
U00191,14
U00192,10
U00193,9
U00194,9
U00195,13
U00196,9
U00197,7
U00198,4
U00199,10
U00200,9
U00201,13
U00202,12
U00203,3
U00204,6
U00205,5
U00206,28
U00207,9
U00208,148
U00209,30
U00210,11
U00211,11
U00212,2
U00213,540
U00214,537
U00215,723
U00216,9
U00217,2
U00218,9
U00219,5
U00220,15
U00221,19
U00222,10
U00223,13
U00224,17
U00225,8
U00226,9
U00227,14
U00228,11
U00229,8
U00230,9
U00231,21
U00232,33
U00233,34
U00234,10
U00235,14
U00236,15
U00237,97
U00238,10
U00239,24
U00240,10
U00241,171
U00242,7
U00243,17
U00244,5
U00245,6
U00246,10
U00247,10
U00248,742
U00249,5
U00250,11
U00251,23
U00252,5
U00253,7
U00254,35
U00255,5
U00256,9
U00257,8
U00258,11
U00259,8
U00260,9
U00261,6
U00262,6
U00263,10
U00264,4
U00265,7
U00266,9
U00267,4
U00268,3
U00269,6
U00270,5
U00271,4
U00272,3
U00273,11
U00274,7
U00275,11
U00276,6
U00277,10
U00278,6
U00279,11
U00280,2
U00281,5
U00282,3
U00283,5
U00284,7
U00285,9
U00286,5
U00287,6
U00288,6
U00289,6
U00290,6
U00291,10
U00292,16
U00293,7
U00294,10
U00295,11
U00296,10
U00297,6
U00298,11
U00299,17
U00300,13
U00301,10
U00302,14
U00303,10
U00304,11
U00305,9
U00306,10
U00307,10
U00308,395
U00309,17
U00310,12
U00311,9
U00312,20
U00313,7
U00314,8
U00315,5
U00316,15
U00317,5
