Middle Initial,n
A,113901
B,33802
C,55438
D,52768
E,63339
F,19534
G,30138
H,24433
I,10152
J,88295
K,31820
L,78014
M,115416
N,359661
O,7585
P,30422
Q,1455
R,64686
S,50564
T,29142
U,1045
V,10263
W,24977
X,1145
Y,6267
Z,2733
n,43
NA,514
