"Description","Count"
"tours./tours",458
"ford's theatre reception",455
"group tour / time changed per requestor",454
"ifyc student briefing",451
"newtown 1 group tour with potential potus drop by",445
"outreach meeting",440
"reclears",439
"gen recep 4",437
"kennedy center honors reception guests",436
"members of the white house military office having their departure photo with the president",434
"group tours 10:00-11:00",434
"ses conference",429
"police week group tours",428
"kennedy center honors reception",425
"additional contact dilara uskuo",423
"no need to arp//barto//merge to u72807",421
"time change made at the request of v. mccullough",419
"white house holiday briefing",416
"location change per requestor",415
"830am group tours",414
"12pm -group tour",414
"sports team visit",409
"eeob trick or treating event- list #1",408
"diplomatic corps reception",404
"music of the civil rights concert",401
"9am group tours./10am group tours",401
"all-day press appts",399
"usss",398
"the event is on the state floor. lauren kelly and clay wertheimer can add to list per claudia/kjb",389
"330pm - open house",389
"greek independence day reception",385
"fiesta latina event*",383
"names merged to u88574",382
"5/6",381
"1pm group tours",379
"2.30pm group tour",368
"recovery act event",366
"army band",366
"1pm - group tours",366
"sterling rolling ridge mount vernon dc bilingual",365
"8.30am group tours**",364
"group tours./west wing tour",359
"key elementary ferebee hope",355
"fort belvoir elementary windy hill kipp aim",355
"time chng per req",354
"guests at olympic athlete event",354
"group tours./",354
"ew tour must enter through sherman park dob reclears",353
"neval thomas elementary plummer elementary",352
"whitehall elementary",350
"730am group t",350
"wwtour",347
"health care reform implementation meeting",346
"whmo 2",345
"whmo 1",345
"group tour/merged u29493 to this appt per ethan",344
"location changed per requestor",343
"barnhart elementary mt. hope",343
"barstow elementary moten aidan montessori",342
"group tourmoved from 4/4 @ 1100 to 4/3 @ 1130 hrs per ethankjb",341
"group tour/time change per tess hetzel",341
"date change per requestor",341
"6pm - open house",341
"the event is on the state floor. per requestor ximena gonzalez can add on to this appt",340
"1pm - open house",340
"name reclear",339
"u 50257 tour",338
"appointment per requestor",338
"group tour (moved from 0830 to 1200 per kate young kjb)",334
"residence",333
"group tour (moved from 0730 to 1130 per kate youngkjb)",333
"coles elementary washington middle school for girls",333
"appeal elementary patuxent elementary cc brightwood cc pentworth",333
"9am - group tours**",333
"8.30 group tours",333
"army band and herald trumpets for the state arrival",332
"private tour",331
"auburn championship visit",331
"tours./",330
"group toursgroup tours",330
"group tour changed from 1300 to 1330 hrs per kate young kjb",330
"time change per jonathan lee",328
"group tour/updated date per requestor",328
"the event is on the state floor and in good weather in the rose garden",327
"flotus and dr. biden",326
"nhas reception",325
"group tour (moved from 0900 to 1230 per kate youngkjb)",325
"group tourmoved from 4/4 @ 0730 to 4/3 @ 0700 per ethankjb",324
"marine band musicians",319
"1230pm group tours",318
"state arrival for china",317
"group tour felipe & carlota full last name is: sainzdetrapagasanchezrubio",315
"12pm - group tours",315
