"APPT_END_DATE","Count"
"2016-04-08 23:59:00",4844
"2014-12-17 23:59:00",4843
"2014-05-02 23:59:00",4840
"2015-10-02 23:59:00",4836
"2012-03-23 23:59:00",4836
"2012-12-14 23:59:00",4835
"2012-05-04 23:59:00",4834
"2016-06-17 23:59:00",4831
"2014-09-15 23:59:00",4828
"2012-08-02 23:59:00",4816
"2010-08-27 23:59:00",4813
"2015-12-21 23:59:00",4812
"2015-12-04 23:59:00",4810
"2012-11-10 23:59:00",4807
"2010-08-21 23:59:00",4806
"2014-03-21 23:59:00",4802
"2012-08-01 23:59:00",4797
"2012-06-26 23:59:00",4794
"2016-04-21 23:59:00",4789
"2015-03-27 23:59:00",4783
"2015-10-09 23:59:00",4780
"2014-10-03 23:59:00",4774
"2011-03-19 23:59:00",4772
"2014-06-13 23:59:00",4766
"2010-07-24 23:59:00",4761
"2016-07-22 23:59:00",4759
"2010-11-12 23:59:00",4759
"2015-07-17 23:59:00",4740
"2011-10-22 23:59:00",4738
"2011-05-25 23:59:00",4738
"2011-06-11 23:59:00",4730
"2010-08-20 23:59:00",4730
"2016-04-14 23:59:00",4716
"2015-11-06 23:59:00",4705
"2010-04-23 23:59:00",4701
"2011-12-13 23:59:00",4697
"2014-12-21 23:59:00",4696
"2015-05-01 23:59:00",4692
"2011-03-23 23:59:00",4686
"2013-12-18 23:59:00",4679
"2012-10-02 23:59:00",4670
"2011-07-04 23:59:00",4649
"2016-06-03 23:59:00",4645
"2012-12-18 23:59:00",4645
"2010-07-23 23:59:00",4632
"2011-04-08 23:59:00",4620
"2015-05-15 23:59:00",4613
"2013-03-08 23:59:00",4609
"2012-08-03 23:59:00",4609
"2014-10-17 23:59:00",4608
"2014-11-08 23:59:00",4607
"2015-12-23 23:59:00",4606
"2012-12-07 23:59:00",4600
"2011-06-24 23:59:00",4599
"2012-04-13 23:59:00",4597
"2014-03-28 23:59:00",4596
"2011-05-28 23:59:00",4594
"2012-06-01 23:59:00",4589
"2011-12-07 23:59:00",4588
"2009-12-12 23:59:00",4588
"2010-05-29 23:59:00",4587
"2016-03-18 23:59:00",4585
"2015-08-07 23:59:00",4584
"2010-07-04 23:59:00",4580
"2012-12-06 23:59:00",4578
"2016-04-26 23:59:00",4576
"2014-06-17 23:59:00",4576
"2012-04-27 23:59:00",4572
"2016-04-22 23:59:00",4568
"2012-06-20 23:59:00",4567
"2010-12-15 23:59:00",4565
"2016-06-24 23:59:00",4564
"2012-06-06 23:59:00",4564
"2011-07-29 23:59:00",4561
