"UIN","Count"
"u86025",579
"u59456",579
"u23237",579
"u86359",577
"u27162",577
"u79661",576
"u70456",576
"u65454",576
"u37204",576
"u34382",576
"u16745",576
"u00018",576
"u00016",576
"u68048",575
"u62335",575
"u51506",575
"u64806",574
"u60028",574
"u34053",574
"u04450",574
"u00502",574
"u36256",573
"u27164",573
"u64887",572
"u87210",571
"u90485",570
"u79388",570
"u65193",570
"u36226",570
"u77949",569
"u04226",569
"u24437",568
"u64262",567
"u01429",567
"u62338",566
"u29504",566
"u15158",566
"u65937",565
"u52836",565
"u37210",565
"u83971",564
"u64430",564
"u38440",564
"u01463",564
"u84839",563
"u79940",563
"u59429",563
"u57744",563
"u98576",562
"u65555",562
"u63867",562
"u63139",562
"u50166",562
"u28737",562
"u97525",561
"u85517",561
"u81832",561
"u51231",561
"u22543",561
"u98412",560
"u94354",560
"u86034",560
"u54623",560
"u48714",560
"u39359",560
"u00019",560
"u77054",559
"u76955",559
"u64310",559
"u49757",559
"u36149",559
"u12613",559
"u80119",558
"u24290",558
"u77397",557
"u66707",557
"u39478",557
"u36255",557
"u29517",557
"u38847",556
"u00023",556
"u98782",555
"u85521",555
"u79464",555
"u77392",555
"u74560",555
"u63147",555
"u52175",555
"u15527",555
"u93853",554
"u90358",554
"u82082",554
"u66622",554
"u01500",554
"u83132",553
"u82264",553
"u75636",553
"u54978",553
"u45311",553
"u39835",553
"u39112",553
"u27411",553
"u11602",553
"u51096",552
"u33969",552
"u33843",551
"u33000",551
"u13445",551
"u11102",551
"u96526",550
"u87460",550
"u78614",550
"u57654",549
"u07340",549
"u01476",549
"u86313",548
"u56264",547
"u26643",547
"u56182",546
"u02798",546
"u35430",545
"u11092",545
"u90977",544
"u61774",544
"u54519",544
"u48432",544
"u48814",543
"u36013",543
"u20463",543
"u35352",542
"u07749",542
"u55274",541
"u16679",541
"u76280",540
"u18198",540
"u12847",539
"u83185",538
"u37625",538
"u23135",538
"u20969",538
"u13498",538
"u07715",538
"u98450",537
"u79210",537
"u42141",537
"u15147",537
"u13853",537
"u48828",536
"u28069",536
"u19636",536
"u59875",535
"u57684",535
"u43896",535
"u00964",535
"u99210",534
"u91984",534
"u34522",534
"u24364",534
"u15552",534
"u15149",534
"u90740",533
"u75947",533
"u64457",533
"u32114",533
"u27097",533
"u09907",533
"u52857",532
"u27976",532
"u12508",532
"u03285",532
"u65474",531
"u49380",531
"u74572",530
"u56625",530
"u09956",530
"u94352",529
"u90440",529
"u51494",529
"u94702",528
"u65200",528
"u64411",528
"u23134",528
"u07567",528
"u98424",527
"u76951",527
"u59840",527
"u87094",526
"u78326",526
"u17055",526
"u59973",525
"u55484",525
"u02958",525
"u17054",524
"u94401",523
"u64871",523
"u42216",523
"u09925",523
"u67323",522
"u55218",522
"u87299",521
"u86038",521
"u47897",521
"u08491",521
"u05672",521
"u00946",521
"u91770",520
"u64151",520
"u16145",520
"u02731",520
"u74023",519
"u55601",519
"u13182",519
"u59833",518
"u74146",517
"u66007",517
"u53441",516
"u03084",516
"u59341",515
"u34590",515
"u28457",515
"u81321",514
"u06008",514
"u88918",513
"u66433",513
"u14168",513
"u96886",512
"u78797",512
"u12721",512
"u97967",511
"u84785",511
"u63421",511
"u60458",511
"u59482",511
"u34352",511
"u31021",511
"u65774",510
"u59839",510
"u44380",510
"u21750",510
"u09112",510
"u64826",509
"u38297",509
"u81837",508
"u65165",508
"u58228",508
"u55709",508
"u53292",508
"u43278",508
"u39379",508
"u35734",507
"u27236",507
"u37846",506
"u97565",505
"u95974",505
"u82143",505
"u52254",505
"u36027",505
"u27853",505
"u01728",505
"u67559",504
"u03965",504
"u66273",503
"u53145",503
"u19172",503
"u44891",502
"u20447",502
"u14546",501
"u76956",500
"u70058",499
"u28160",499
"u86157",498
"u86041",498
"u75367",498
"u65652",498
"u12260",498
"u90681",497
"u86040",497
"u91759",496
"u38023",496
"u26884",496
"u03103",496
"u59829",495
"u52016",495
"u05984",495
"u97991",494
"u93671",494
"u56111",494
"u35858",494
"u59337",493
"u54564",493
"u18810",493
"u00501",493
"u93126",492
"u51526",492
"u43899",491
"u16299",491
"u26463",490
"u20983",490
"u85619",489
"u58975",489
"u34526",489
"u35099",488
"u01926",487
"u52173",486
"u14375",486
"u97915",485
"u73407",485
"u69116",485
"u39883",485
"u32841",485
"u95871",484
"u91884",484
"u91686",484
"u81114",484
"u61403",484
"u37458",484
"u79018",483
"u68530",483
"u20876",483
"u16400",483
"u92162",482
"u83081",482
"u78424",482
"u68670",482
"u34662",482
"u15614",482
"u72624",481
"u14155",481
"u04341",481
"u03784",481
"u98588",480
"u74710",480
"u66229",480
"u44298",480
"u37787",480
"u86346",479
"u11028",478
"u55378",477
"u39490",477
"u07640",477
"u03994",477
"u27205",476
"u08539",476
"u68147",475
"u62214",475
"u32183",475
"u93558",474
"u92980",474
"u66324",474
"u62478",474
"u54090",474
"u52906",474
"u41246",474
"u24390",474
"u68572",473
"u65236",473
"u38924",473
"u05165",473
"u04945",473
"u94949",472
"u91305",472
"u78940",472
"u55050",472
"u29353",472
"u72136",471
"u32835",471
"u31059",471
"u91143",470
"u90944",470
"u54478",470
"u13138",470
"u94324",469
"u67157",469
"u59950",469
"u56427",469
"u01435",469
"u86966",468
"u77545",468
"u65172",468
"u31620",468
"u85568",467
"u61396",467
"u55356",467
"u49855",467
"u41465",467
"u14238",467
"u09271",467
"u94351",466
"u91753",466
"u85250",466
"u78567",466
"u48711",466
"u27265",466
"u71019",465
"u58292",465
"u15124",465
"u09817",465
"u00043",465
"smin15",465
"intrn7",465
"u64189",464
"u41318",464
"u27735",464
"u27219",464
"u12623",464
"u92816",463
"u89940",463
"u54110",463
"u39347",463
"u26045",463
"u24099",463
"u16344",463
"u15520",463
"u02559",463
"u92594",462
"u64303",462
"u57659",462
"u13628",462
"u22863",461
"u13290",461
"u10149",461
"u91286",460
"u44597",460
"u85993",459
"u60395",459
"u46574",459
"u40301",459
"u24853",459
"u11305",459
"u82824",458
"u36864",458
"u27888",458
"u19746",458
"u91696",457
"u68582",457
"u47661",457
"u90863",456
"u64693",456
"u62381",456
"u49869",456
"u32917",456
"u99976",455
"u90966",455
"u65117",455
"u56789",455
"u45069",455
"u44475",455
"u99487",454
"u95125",454
"u51070",454
"u30254",454
"u23293",454
"u14853",454
"u91916",453
"u82490",453
"u82198",453
"u39838",453
"u23303",453
"u22774",453
"u21761",453
"u16047",453
"u54414",452
"u97540",451
"u54141",451
"u37894",451
"u94666",450
"u93331",450
"u66080",450
"u17647",450
"u91184",449
"u75397",449
"u74935",449
"u65466",449
"u44004",449
"u39874",449
"u75299",448
"u67800",448
"u55379",448
"u46597",448
"u33192",448
"u26649",448
"u20848",448
"u14172",448
"u02636",448
"u66222",447
"u57467",447
"u57154",447
"u54406",447
"u51771",447
"u18846",447
"u16285",447
"u95406",446
"u88656",446
"u70532",446
"u64475",446
"u58917",446
"u39713",446
"u27837",446
"u13286",446
"u94442",445
"u86950",445
"u84326",445
"u73294",445
"u67914",445
"u66519",445
"u65547",445
"u25124",445
"u23664",445
"u13169",445
"u06919",445
"u04843",445
"u03833",445
"u73376",444
"u46905",444
"u40175",444
"u90482",443
"u40853",443
"u65886",442
"u56392",442
"u30589",442
"u23334",442
"u01794",442
"u89363",441
"u08290",441
"u05297",441
"u83961",440
"u96110",439
"u86223",439
"u81153",439
"u78494",439
"u48150",439
"u81036",438
"u46390",438
"u37843",438
"u36054",438
"u27833",438
"u97393",437
"u75352",437
"u63176",437
"u44830",437
"u34341",437
"u01095",437
"u83579",436
"u62101",436
"u59729",436
"u57591",436
"u48247",436
"u44163",436
"u39154",436
"u38048",436
"u20880",436
"u94723",435
"u72801",435
"u46868",435
"u12790",435
"u90096",434
"u85097",434
"u81101",434
"u20425",434
"u05300",434
"u98451",433
"u92471",433
"u41142",433
"u36209",433
"u04731",433
"u73470",432
"u61435",432
"u59983",432
"u47375",432
"u44134",432
"u10045",432
"u05335",432
"u98448",431
"u54492",431
"u54378",431
"u51505",431
"u26210",431
"u09980",431
"u57923",430
"u46586",430
"u46561",430
"u41412",430
"u40034",430
"u07378",430
"u04839",430
"u91991",429
"u85405",429
"u80806",429
"u78491",429
"u70232",429
"u61754",429
"u23235",429
"u69029",428
"u30449",428
"u06183",428
"u00882",428
"u86756",427
"u85529",427
"u78900",427
"u68504",427
"u51074",427
"u35832",427
"u71156",426
"u32547",426
"u24630",426
"u14245",426
"u04307",426
"u03679",426
"u01562",426
"u98646",425
"u43393",425
"u35731",425
"u24628",425
"u10726",425
"u08495",425
"u89949",424
"u82961",424
"u36000",424
"u15017",424
"u14839",424
"u14146",424
"u06476",424
"u01364",424
"u94506",423
"u91799",423
"u91603",423
"u90536",423
"u84801",423
"u66611",423
"u60441",423
"u58937",423
"u09979",423
"u06047",423
"u98427",422
"u89114",422
"u77009",422
"u69057",422
"u60403",422
"u27971",422
"u25332",422
"u14846",422
"u04493",422
"u62076",421
"u41825",421
"u33542",421
"u26050",421
"u20934",421
"u03862",421
"u90787",420
"u74912",420
"u40373",420
"u29693",420
"u23289",420
"u23241",420
"u03133",420
"u03071",420
"u89524",419
"u75485",419
"u71881",419
"u66472",419
"u62392",419
"u53858",419
"u24890",419
"u95790",418
"u88771",418
"u52998",418
"u39917",418
"u25112",418
"u08591",418
"sumint",418
"u97609",417
"u62157",417
"u61724",417
"u16322",417
"u13658",417
"u97173",416
"u67938",416
"u47906",416
"u24527",416
"u84299",415
"u83682",415
"u72146",415
"u64483",415
"u40937",415
"u30619",415
"u30413",415
"u17269",415
"u16258",415
"u13223",415
"u92380",414
"u79738",414
"u79092",414
"u78598",414
"u76485",414
"u69750",414
"u63807",414
"u56078",414
"u27690",414
"u97021",413
"u90876",413
"u74054",413
"u68856",413
"u63828",413
"u55735",413
"u48086",413
"u38063",413
"u36829",413
"u35549",413
"u26182",413
"u14379",413
"u01049",413
"u50013",412
"u32030",412
"u21769",412
"u91374",411
"u89432",411
"u63316",411
"u62288",411
"u39611",411
"u36130",411
"u22597",411
"u21281",411
"u15605",411
"u98689",410
"u40406",410
"u39495",410
"u33138",410
"u27656",410
"u00927",410
"u91216",409
"u70416",409
"u61356",409
"u58727",409
"u52827",409
"u51662",409
"u49704",409
"u36076",409
"u15025",409
"u13859",409
"u13774",409
"u99221",408
