"APPT_CANCEL_DATE","Count"
"2010-11-29 16:12:00",27
"2010-11-10 15:22:00",27
"2010-03-18 00:00:00",27
"2011-05-27 15:58:00",26
"2010-06-29 15:23:00",26
"2015-12-04 15:41:00",25
"2012-09-19 15:49:00",25
"2011-11-29 12:22:00",25
"2011-02-07 18:27:00",25
"2011-02-01 18:28:00",25
"2010-10-29 19:06:00",25
"2009-07-17 16:36:14",25
"2015-11-18 08:43:00",24
"2010-09-15 14:48:00",24
"2010-04-27 14:55:00",24
"2015-01-27 11:13:00",23
"2014-02-26 15:31:00",23
"2011-10-31 10:31:00",23
"2011-02-25 17:13:00",23
"2010-11-05 18:30:00",23
"2009-10-20 19:53:00",23
"2014-06-25 12:09:00",22
"2012-08-09 14:44:00",22
"2012-01-24 16:55:00",22
"2011-12-01 08:08:00",22
"2011-08-04 16:42:00",22
"2011-01-24 16:00:00",22
"2011-02-03 13:32:00",21
"2010-06-08 18:51:00",21
"2015-10-13 11:34:00",20
"2014-05-28 16:52:00",20
"2014-05-07 13:41:00",20
"2010-08-31 17:07:00",20
"2010-06-21 10:05:00",20
"2009-11-16 11:22:00",20
"2015-06-17 19:06:00",19
"2011-01-21 07:42:00",19
"2010-08-31 19:48:00",19
"2010-03-26 00:00:00",19
"2014-01-16 15:40:00",18
"2013-01-08 16:07:00",18
"2012-09-11 11:39:00",18
"2010-10-12 10:25:00",18
"2010-03-24 00:00:00",18
"2010-03-19 00:00:00",18
"2010-02-08 15:08:00",18
"2016-02-17 10:30:00",17
"2013-10-24 10:21:00",17
"2011-08-10 11:27:00",17
"2011-02-17 09:01:00",17
"2010-06-28 10:51:00",17
"2010-05-13 15:33:00",17
"1900-01-01 00:00:00",17
"2015-03-04 13:11:00",16
"2013-10-09 15:40:00",16
"2012-04-03 12:42:00",16
"2010-11-16 12:17:00",16
"2010-10-06 16:56:00",16
"2010-07-28 12:03:00",16
"2010-04-21 18:35:00",16
"2010-03-11 00:00:00",16
