"MEETING_ROOM","Count"
"ww/navy me",347
"ww basemen",347
"268",347
"430 a",343
"south driv",341
"sow 230a",336
"grand foye",335
"ikes eate",333
"580",333
"10026",333
"eeob 248",332
"5227",331
"oeob 474",330
"258",327
"wh navy me",325
"s court au",323
"308",323
"33",322
"419",320
"residende",318
"453",317
"statefloor",316
"532",315
"res clinic",314
"eeob 176",314
"72a",313
"211 ew",313
"neob eater",312
"54",310
"tour",307
"259",306
"4013",304
"273",303
"32",301
"neob back",299
"ww whsr",297
"8235",296
"67",296
"56",295
"19",295
"8103",294
"ew208",291
"ww/whsr",290
"residene",290
"eeob 100",290
"9226",290
"20",289
"sms large",288
"gift shop",288
"eeob 405",286
"ww/wh mess",285
"eeob 274",282
"ww/rose ga",281
"192",281
"480",279
"72",277
"73",276
"230ab",276
"eeob 130",275
"6001",275
"vpotus cer",274
"414",274
"rm 94",271
"118",271
"eeob 37",270
"8",270
"3007",269
"eeob 124",268
"196",265
"163",265
"79",264
"58",263
"330 eeob",262
"63",259
"286",259
"184",259
"173",259
"eeob 171",258
"224",256
"6002",254
"press offi",253
"51",253
"465",252
"037 truman",252
"eeob 450",251
"62",251
"487",251
"res state",250
"545",250
"10",250
"437",249
"flotus off",248
"175",246
"ww floor 1",245
"474 (india",245
"ww/wardroo",244
"room 430",244
"theatre",243
"eeob 114",243
"3019",243
"eeob 238",240
"230a/b",240
"8a",239
"e street",238
"eeob350",237
"eeob 291",236
"304",236
"eastwing/e",235
"staff mess",234
"south cort",234
"s. court a",234
"eeob 441",234
"37 bowli",233
"eeob 56",232
"eeob 088",231
"oeob",230
"cordell hu",229
"8026",229
"368",229
"218",229
"6202",226
"126",226
"westwing",225
"389",225
"sow 228",224
"146",224
"ww/ew",223
"6101",223
"eeob 401",221
"eeob 180",221
"wwrooseve",217
"the east r",216
"vp office",215
"cafeteria",215
"49",215
"211ew",215
"129",214
"227",213
"142",213
"dcfdems",212
"80",212
"444",212
"ew east r",211
"132",211
"rr",210
"202",210
"press brie",209
"344",209
"165",209
"ew//east r",208
"474/itr",207
"484",205
"eeob 430b",203
"theater",202
"old family",202
"eeob 236",202
"550",202
"139",202
"263",201
"225",200
"eeob 220",199
"wh/eeo/ne",197
"room 37",197
"592",197
"ww 2nd flr",196
"3002",196
"aditorium",195
"ww/eeob",194
"outer oval",194
"402",194
"27",194
"itr/474",193
"7202",193
"59",193
"208c",193
"153",193
"595",190
"state flr",189
"west execu",188
"8101",188
"253",188
"wh east",187
"east room/east wing",187
"22",186
"198",185
"stpl/wexec",184
"southlawn",184
"room 374",184
"ew 210",183
"209",183
"first lady",182
"65",182
"ew 102",181
"eeob 276",181
"202 east w",181
"181",181
"037",181
"ww ward ro",180
"sca (natio",177
"5218",177
"3203",176
"eeob 212",175
"eeob 105",175
"upper east",173
"6213",173
"524",173
"430bca",173
"whnm",172
"440",172
"s.court au",171
"342",170
"199",170
"493a",169
"430ab",169
"120",168
"eeob 307",166
"417",166
"3104",166
"179",165
"neob cafet",164
"47",164
"106",164
"parking on",163
"463",163
"ww sit rm",162
"ww first f",162
"physician",162
"north grou",162
"eeob 210/4",162
"140",162
"eeob 219",161
"ew210",160
"188",160
"wh east room",159
"room 037",159
"eeob 160",158
"70",158
"tbd",157
"7203",157
"596",155
"447",155
"eeob 460",154
"448",154
"13a",154
"10007",154
"ew 211",153
"5236",153
"474itr",153
"eeob 271",151
"briefing r",151
"s.lawn",150
"2102/212",149
"ww1",148
"ww/navymes",148
"464",148
"430a/b/c",147
"eeob 036",146
"ww//roosev",145
"411",145
"eeob474",144
"eeob 252",144
"ww/situati",143
"195",142
"430 a b c",141
"36",141
"itr474",139
"364",139
"southwest",138
"neob 3020",138
"eeob 230b",137
"48",137
"neob",136
"210212",136
"13",136
"10258",136
"suite 5200",135
"6226",135
"ew 203",134
"61",134
"206ew",133
"138",133
"south gro",132
"ew flotus",132
"41",132
"219",132
"eeob 408",131
"ew120",129
"sow 236",128
"85",128
"329",128
"ww 2fl",127
"south audi",126
"136",126
"nsa suite",125
"520",125
"489",125
"room #039",124
"ww/oval",123
"lower east",123
"ground flo",122
"7228",122
"sms",120
"room 474",120
"eeob 442",119
"basketball",119
"b208",119
"203",119
"162",119
"sumi16",118
"madison an",118
"185",118
"wh tour",117
"459",117
"west wing drive",116
"481",116
"53",115
"244",115
"08b",115
"6208",113
"eeob 196",112
"78",112
"213",112
"ww appt",111
"wh complex",111
"5000",111
"430abd",111
"ww/sit. ro",110
"sow 226",110
"eeob india",110
"eeob 430 b",110
"597",109
"270",109
"west porti",108
"vp ceremon",108
"317",108
"whsrexec",107
"eeob sout",107
"347",107
"10102",107
"exec",106
"ikes",105
"430 a b",105
"221",105
"151",104
"ww situati",103
"physicians",103
"marine one",103
"eeob 55",103
"3026",103
"ww upper p",102
"ww gr fl",102
"ushers off",102
"rm 1",102
"71",102
"7",102
"449",102
"266",102
"s. ct. aud",101
"palm room",101
"ikes eater",101
"eatery",101
"553",101
"430 a/b",100
"4202",100
"319",100
"265",100
"vpotus ww",99
"east room-",99
"147",99
"bookseller",98
"basement",98
"250",98
"4218",97
"eeob 381",96
"69",96
"534",96
"102",96
"ww speechw",95
"south ct",95
"room 230a",95
"ew #102",95
"76a",95
"245",95
"141",95
"wh",94
"eeob 350 a",94
"cos office",94
"truman",93
"492a",93
"room 1",92
"library",92
"ew 202",92
"231",92
"230 a/b",92
"161",92
"eeob 364",91
"435",91
"res medica",90
"ews",90
"235",90
"state",89
"eeob 1",89
"secretary",88
"s.court",88
"presslobby",88
"ew107",88
"ww/main lo",87
"room #472",87
"9224",87
"16",87
"ww upper s",86
"so. court",86
"room #037",86
"eeob 532",86
"eeob 260",86
"eeob 218",86
"e&e sub ip",86
"7208",86
"theater rm",85
"sms exec",85
"neob 9104",85
"477",85
"430/ww",85
"neob 3202",83
"awaiting p",83
"478",83
"ww upper",82
"rosevelt r",82
"flower sho",82
"9014",82
"420",82
"230 eeob",82
"vpotus off",81
"truman bowling alley",81
"sow230a",81
"ew/east re",81
"ew 120",81
"499",81
"428a",81
"28",81
"230 b",81
"ww/ew/eeo",80
"cos suite",80
"403bc",80
"189",80
"183",80
"eeob truma",79
"eeob 79",79
"2201",79
"9103",78
"372",78
"15th and e",78
"ww 2nd floor",77
"eeeob 234",76
"e exec",76
"424",76
"350/eeob",76
"159",76
"eeob 145",75
"451",75
"truman all",74
"oval / ew",74
"eeoc 430bc",74
"eeob 97",74
"203a",74
"ww cos",73
"ww 2 floor",73
"room 430 b",73
"eeob 265",73
"bowling alley",73
"60a",73
"4116",73
"287a",73
"187",73
"019/ll",73
"278",72
"202 a",72
"ww wh mess",71
"ww cos ofc",71
"350 and 23",71
"ww200",70
"room #474",70
"ew 208",70
"eeob 233",70
"472476",70
"34",70
"177",70
"eeob428",69
"eeob 426",69
"eeob 175",69
"479",69
"376",68
"123",68
