"MEETING_ROOM","Count"
"whmo secur",11
"white house",11
"susans of",11
"suite",11
"stateroom",11
"speechwrit",11
"s. ct audi",11
"roosevelet",11
"room 9116",11
"room 307",11
"room 20",11
"room #528",11
"room #480",11
"rm ew206",11
"print shop",11
"omb cafete",11
"o20",11
"ew102 & ov",11
"ew/ebr",11
"ew 212/sou",11
"eeob49",11
"eeob200",11
"eeob rm 35",11
"eeob 491",11
"eeob 266",11
"eeob 241",11
"eeob 082",11
"east wingg",11
"eas",11
"dr. biden",11
"doctors of",11
"depature p",11
"b039",11
"7215.0",11
"7213",11
"6218",11
"6 flr heal",11
"493b",11
"442 eeob",11
"434",11
"428 eeob",11
"4208.0",11
"406",11
"405 eeob",11
"401.0",11
"387",11
"374 ipb sm",11
"3220",11
"230sow",11
"204ew",11
"188w",11
"157",11
"155",11
"144 eeob",11
"073",11
"027 didlak",11
"ww2f",10
"ww/wshr",10
"ww/oval pa",10
"ww/exe",10
"ww sitroom",10
"ww 1 fl",10
"ww / oval",10
"whmu clini",10
"whla",10
"wh/eeo",10
"west exec.",10
"upper suit",10
"statedini",10
"sec of war",10
"sb223",10
"roosevet",10
"room#484",10
"room 430b",10
"room 10025",10
"room 065 a",10
"rm 5008",10
"rm 25",10
"rm # 274",10
"resident",10
"reisdence",10
"reception",10
"pony shed",10
"ovp west w",10
"oval priva",10
"oeob 474/i",10
"oeob 037 b",10
"neob 7026",10
"neob 6101",10
"neob 400",10
"neob 2008",10
"ikes eatr",10
"gfl ww",10
"gf",10
"ew east",10
"eeob gift",10
"eeob cooli",10
"eeob 8a bo",10
"eeob 487",10
"eeob 243",10
"eeob 197",10
"east repce",10
"e208",10
"dip room/o",10
"cr570",10
"cr 550",10
"amb. rices",10
"9115",10
"91104",10
"8113",10
"7211",10
"7102",10
"5218-a",10
"519",10
"515",10
"479b",10
"472 eeob",10
"37bowling alley",10
"240a",10
"152",10
"13a ew",10
"132 eeob",10
"111a",10
"1115",10
"111 couche",10
"10033",10
"097",10
"037 bowing",10
"wwtour",9
"wwsituati",9
"wwground f",9
"wwest wing",9
"ww/executi",9
"ww/cos",9
"ww lobby/s",9
"whmo 208",9
"wh situtat",9
"wh sit roo",9
"wh gift sh",9
"west wingn",9
"ushers of",9
"state flor",9
"sow room 2",9
"sourth cou",9
"sb220",9
"rosegarden",9
"room#039",9
"room 88",9
"roof",9
"rm 68",9
"press brei",9
"oval / eas",9
"neob rm 32",9
"neob cafe",9
"neob 4202",9
"nec conf r",9
"indiant tr",9
"group tour",9
"ew106",9
"ew store",9
"ew room 12",9
"ew first l",9
"ew 223",9
"eob 228",9
"eeob37",9
"eeob207",9
"eeob tours",9
"eeob floor",9
"eeob 7",9
"eeob 63",9
"eeob 434",9
"eeob 240a",9
"eeob 202a",9
"eeob 144",9
"eeob 109",9
"e street n",9
"cr450",9
"china room",9
"9028",9
"8223",9
"8116.0",9
"70002",9
"64",9
"6216",9
"6206",9
"553b",9
"548",9
"52355",9
"5014",9
"496",9
"477b",9
"474/ india",9
"45 eeob",9
"413",9
"361.5",9
"248 eeob",9
"202ew",9
"2010",9
"200 east w",9
"15th & e",9
"135.0",9
"037 bowli",9
"019 lower",9
"014",9
"0",9
"wwwhmess",8
"wwnavy me",8
"ww/second",8
"ww/family",8
"ww/east ro",8
"ww/2nd fl",8
"ww//whsr",8
"ww sr",8
"ww schedul",8
"ww physici",8
"ww ground floor",8
"ww cos off",8
"ww cos con",8
"wst wing",8
"whsrexec.",8
"whsr break",8
"who eop re",8
"wh cos",8
"west wing 2nd floor",8
"truman bo",8
"staff sec",8
"sow230b",8
"sow 430 b",8
"sgrounds",8
"sb112",8
"s. grnds.",8
"room 460",8
"room \550",8
"room #206",8
"rm 3113",8
"resdience",8
"res/physic",8
"potus",8
"ovalww",8
"oval offie",8
"oval ofc",8
"neob rm 3",8
"neob gym",8
"neob 7025",8
"n & s grou",8
"medical un",8
"lawn",8
"jfk situat",8
"jackson",8
"groundfloo",8
"gf suite w",8
"ews120",8
"ew2112",8
"ew/recepti",8
"ew 2l",8
"essa whsr",8
"eoc rm 13",8
"eeob rm 47",8
"eeob rm 2",8
"eeob rm 1",8
"eeob audit",8
"eeob 81",8
"eeob 497",8
"eeob 482",8
"eeob 476a",8
"eeob 37 bo",8
"eeob 302",8
"eeob 285",8
"eeob 258",8
"eeob 223",8
"eeob 2`7",8
"eeob 139",8
"eeob 108",8
"dental off",8
"cr400",8
"cos confer",8
"cafe/fishb",8
"bowling 03",8
"bcb confer",8
"b23",8
"b 208",8
"95",8
"9140",8
"9116.0",8
"8016",8
"7214",8
"6007",8
"551b",8
"531",8
"528 eeob",8
"5208a",8
"520.0",8
"495.0",8
"485.0",8
"4221.0",8
"4218a",8
"412b",8
"412.0",8
"392",8
"374 o5",8
"374 (sms e",8
"370",8
"3100",8
"30/eeob ik",8
"2nd fl",8
"279.0",8
"271 (confi",8
"237.0",8
"2333",8
"226a",8
"2211 (neob",8
"2204",8
"1fl/ww",8
"112 a",8
"10208",8
"102 / mess",8
"032",8
"030 ikes",8
"ww1fl",7
"ww/staff s",7
"ww/press l",7
"ww/lower s",7
"ww/ground",7
"ww//2nd ro",7
"ww staff s",7
"ww press o",7
"ww oval",7
"ww opso",7
"ww brief",7
"ww 1st f",7
"ww-mess",7
"whsr sma",7
"whmu",7
"whewintern",7
"wh ward ro",7
"wh staff m",7
"wh grounds",7
"wh 2nd flo",7
"westexec",7
"west wing 1st floor",7
"vp",7
"upper ww l",7
"upper lobb",7
"truman blo",7
"tour ew",7
"sow208",7
"southgrnds",7
"sms exec r",7
"sground",7
"scourt",7
"sca (hindu",7
"sb233",7
"room 97",7
"room 234",7
"room #226",7
"rooftop",7
"press stak",7
"penn ave",7
"oval off",7
"oeob/037 t",7
"nist 180a",7
"neob 4th f",7
"n. court",7
"lunch mess",7
"level b1",7
"ike?s eate",7
"housekeepi",7
"hayashi",7
"grfl/ww",7
"g202a",7
"flowershop",7
"ews 220",7
"eweast ro",7
"ew209",7
"ew102 and",7
"ew 2nd fl",7
"erb sms 37",7
"eeop 130",7
"eeob482",7
"eeob206",7
"eeob153",7
"eeob118",7
"eeob clini",7
"eeob 84",7
"eeob 71",7
"eeob 70",7
"eeob 594",7
"eeob 54",7
"eeob 536",7
"eeob 493a",7
"eeob 488",7
"eeob 479b",7
"eeob 477",7
"eeob 32",7
"eeob 289",7
"eeob 283",7
"eeob 279",7
"eeob 250",7
"eeob 242",7
"eeob 177",7
"eeob 0076",7
"east landi",7
"doctors o",7
"csca",7
"bowling/rm",7
"blueroom",7
"basement o",7
"b1",7
"9204",7
"8208",7
"7215 confe",7
"7125",7
"5550",7
"542",7
"533",7
"5203b",7
"5103",7
"500",7
"50",7
"498",7
"476 eeob",7
"474/94",7
"474 / 074",7
"460 team m",7
"439abc",7
"4235a",7
"4115",7
"4",7
"374 eeob",7
"3302",7
"3108",7
"310",7
"3051",7
"3:00 pm",7
"2nd floor ww",7
"2390a",7
"226 and 22",7
"2111b",7
"2 floor",7
"172/tbd",7
"144.0",7
"130 eeob",7
"12:00 pm",7
"10266",7
"10218",7
"10101",7
"074",7
"039 eeob",7
"037bowli",7
"037/580",7
"#291",7
"wwwhite h",6
"wwroosevel",6
"ww120",6
"ww/ward rm",6
"ww/vps of",6
"ww/susan r",6
"ww/speechw",6
"ww/physici",6
"ww/jeffzie",6
"ww/dip roo",6
"ww/cos off",6
"ww/cos con",6
"ww/chief o",6
"ww//state",6
"ww/ situat",6
"ww staff m",6
"ww simas o",6
"ww mess di",6
"ww floor 2",6
"ww first",6
"ww david a",6
"ww briefin",6
"ww 12",6
"ww 1 floor",6
"ww-vp offi",6
"wh west wi",6
"wh second",6
"wh mess/wh",6
"wh mess di",6
"wh mess &",6
"west wind",6
"west west",6
"west tour",6
"west lobby",6
"w w",6
"vp suite",6
"various",6
"tr533",6
"stair case",6
"stackout",6
"south ct.",6
"south court",6
"siw 228",6
"sca (relig",6
"sca (becke",6
"sca ( cent",6
"sb234",6
"sb232",6
"s.ct aud",6
"room 68",6
"room 206 e",6
"room 10202",6
"room #25",6
"rm 400",6
"rm 137",6
"rm 037",6
"rm 015",6
"res/blue r",6
"paulette a",6
"pastry sho",6
"parking ga",6
"north drive",6
"noeb penth",6
"neob visit",6
"neob room",6
"neob cafte",6
"neob 7002",6
"neob 6235",6
"neob 565",6
"neob 5001",6
"nayv mess",6
"map rm",6
"madison av",6
"loading do",6
"kristies o",6
"itr / 474",6
"housekeepe",6
"grnd fl ww",6
"green room",6
"exec whsr",6
"ews pro of",6
"ew/13a",6
"ew#206",6
"ew rm 112",6
"ew 102 / m",6
"ew 102 / e",6
"ew #100",6
"erb 445",6
"eob room 0",6
"eeoc",6
"eeob499",6
"eeob430abc",6
"eeob151",6
"eeob15",6
"eeob130",6
"eeob sms l",6
"eeob ikes",6
"eeob bowl",6
"eeob 595",6
"eeob 432",6
"eeob 336",6
"eeob 262",6
"eeob 261",6
"eeob 199",6
"eeob 198",6
"eeob 189",6
"eeob 182",6
"eeob 165a",6
"eeob 161",6
"eeob 140",6
"eeob 027",6
"east/south",6
"east wing;",6
"east ext a",6
"east exe.",6
"east exe",6
"e100",6
"e street (",6
"czech nsa",6
"court yard",6
"conference",6
"bowling/we",6
"b27",6
"b005",6
"apnsa suit",6
"amb. rice",6
"9208e",6
"9114",6
"8106",6
"7326",6
"7239",6
"7223",6
"7201",6
"6th floor",6
"63459",6
"6121",6
"6014",6
"6001c",6
"60 bowling",6
"553a",6
"51243",6
"511.5",6
"5101",6
"502a",6
"488.0",6
"430/itr",6
"4205",6
"4122",6
"4021",6
"378",6
"374/sms ex",6
"353 eeob",6
"339",6
"334",6
"3215",6
"314",6
"3000",6
"283.0",6
"248.0",6
"247",6
"243/bowlin",6
"234a",6
"230a sow",6
"228.0",6
"2233",6
"216.0",6
"201/212",6
"1772",6
"16a",6
"113",6
"107.0",6
"10261",6
"10230",6
"10029",6
"10025`",6
"037/eeob",6
"wwsituatio",5
"ww1st flo",5
"ww/vice pr",5
"ww/suite",5
"ww/state f",5
"ww/o10",5
"ww/2fl",5
"ww//2ndflo",5
"ww/ 2nd fl",5
"ww vp",5
"ww lobby/o",5
"ww gflr",5
"ww cos 1st",5
"ww 226",5
"ww 1st floor",5
"wshr small",5
"whsr exec.",5
"whmo hq",5
"whcc jacks",5
"wh/ww mess",5
"wh navy mess",5
"wh mess wa",5
"west wign",5
"ward room(",5
"w228",5
"vp ww",5
"vp ofc ww",5
"tour eeob",5
"state pla",5
"state pl p",5
"staircase",5
"sp8",5
"south crt",5
"soouth cou",5
"scr",5
"sca (rac)",5
"sca (inter",5
"sca (aclu)",5
"sb236b",5
"sb229",5
"s court ad",5
"roome 530",5
"room 5200",5
"room 317",5
"room 048",5
"room #462",5
"room #461",5
"rm 8/g2",5
"rm 8",5
"rm 3201",5
"rm 25 eeo",5
"res med cl",5
"r234",5
"photo offi",5
"peoc",5
"oval/east",5
"oval /ew 1",5
"oval / ew1",5
"o18",5
"nsa office",5
"neob garag",5
"neob 9116",5
"neob 8211",5
"neob 8116",5
"neob 7236",5
"neob 5000",5
"neob 4208",5
"neob 4000",5
"neob 3025",5
"neob 2211b",5
"nec huddle",5
"n/a",5
"medical cl",5
"med unit",5
"master con",5
"map room/r",5
"lower corr",5
"levels b1",5
"jon carson",5
"itr/94",5
"g 007",5
"fifth floo",5
"ews/eeob b",5
"ewroom100",5
"ew/2nd flo",5
"ew/100",5
"ew visito",5
"ew peoc",5
"ew flotu",5
"ew 2nd flr",5
"ew 212 and s",5
"ew #206",5
"ew !00",5
"eeob263",5
"eeob228",5
"eeob/45",5
"eeob sms #",5
"eeob 596",5
"eeob 59",5
"eeob 498",5
"eeob 493",5
"eeob 454",5
"eeob 343",5
"eeob 296",5
"eeob 269",5
"eeob 239",5
"eeob 165",5
"eeob 136",5
"eeob 104",5
"east rm/re",5
"e street p",5
"curators",5
"cr 6116",5
"cheif of s",5
"cecilias",5
"cc 230b",5
"b27 (res)",5
"ac16",5
"9106",5
"9102",5
"9019",5
"83 eeob",5
"816",5
"802",5
"8005",5
"7205",5
"7036",5
"691",5
"6812",5
"65176",5
"63977",5
"6335",5
"62650",5
"62322",5
"6225 bsb c",5
"6202b",5
"589",5
"580/eeob",5
"562",5
"530.0",5
"52353",5
"5235.0",5
"5230.0",5
"5100",5
"502",5
"451b",5
"440a",5
"433",5
"4221 mast",5
"4117",5
"409",5
"40",5
"396",5
"355",5
"3505",5
"303 eeob",5
"3006",5
"296ew",5
"254",5
"252l",5
"228 sow",5
"2230a",5
"212.0",5
"210/ 212",5
"208 cordel",5
"206 east r",5
"2002",5
"20-feb",5
"179`",5
"160 ww",5
"130/oval o",5
"1111",5
"10214",5
"10105",5
"08a",5
"074/gift s",5
"030 ikes e",5
"015 eeob b",5
"#94 and #9",5
"wwsitroom",4
"wwpress l",4
"wwlower p",4
"ww2nd fl",4
"ww/whsr sm",4
"ww/west wi",4
"ww/tour",4
"ww/press s",4
"ww/pfs/mes",4
"ww/navy mess",4
"ww/lower p",4
"ww//tour",4
"ww/ press",4
"ww upper l",4
"ww uppe",4
"ww speechwriting",4
"ww rr",4
"ww oval of",4
"ww oval o",4
"ww mess ha",4
"ww mess ba",4
"ww lower p",4
"ww loby",4
"ww 3rd flo",4
"ww 2d floo",4
"ww-oval",4
"whsr/situa",4
"whsr ww",4
"whsr execu",4
"wh exteri",4
"wh curator",4
"wh bowling",4
"west & eas",4
"w. exec wh",4
"w 100",4
"vps suite",4
"vp ww ofic",4
"usss pass",4
"trade room",4
"tina gray",4
"tech ctrl",4
"steam room",4
"stateplace",4
"staff secr",4
"staff dinn",4
"sow suit",4
"south gnds",4
"sms exec e",4
"situation room",4
"sers offic",4
"sca 105",4
"sca (musli",4
"sb 226",4
"s courtyar",4
"rosegarde",4
"room 99/re",4
"room 89",4
"room 72a",4
"room 5013",4
"room 360",4
"room 3025",4
"room 13",4
"room #400",4
"room #12",4
"room # 97",4
"rm 28",4
"rm 206",4
"rm 20",4
"residenenc",4
"res doctor",4
"rear lobby",4
"press sec",4
"potus dini",4
"physician office",4
"pass offic",4
"parking s",4
"oval/ew102",4
"oval ofice",4
"outeroval",4
"ocfo suite",4
"nps ofce and",4
"north & so",4
"neobcourt",4
"neob soc 3",4
"neob 7203",4
"neob 7001",4
"neob 4211",4
"neob 3007",4
"neob 2211",4
"neob 10026",4
"neob 10025",4
"nec office",4
"nec front",4
"navy ness",4
"my office",4
"multiple",4
"mc 4th flo",4
"load dock",4
"library/g",4
"jonathan a",4
"ikes eatery",4
"ike cafe",4
"health uni",4
"ground flr",4
"gf/ww",4
"garden",4
"flotus ofc",4
"flotus' of",4
"famtheat",4
"ewr",4
"ew2fl",4
"ew103",4
"ew/flotus",4
"ew/briefin",4
"ew whmo hq",4
"ew room 13",4
"ew 228",4
"ew 2041",4
"ew-east ro",4
"erb",4
"eob room 5",4
"eeob56",4
"eeob485",4
"eeob472",4
"eeob282",4
"eeob236",4
"eeob171",4
"eeob039",4
"eeob state",4
"eeob rm 70",4
"eeob loung",4
"eeob first",4
"eeob bow",4
"eeob badge",4
"eeob 95",4
"eeob 72a",4
"eeob 597",4
"eeob 592a",4
"eeob 564",4
"eeob 484",4
"eeob 483",4
"eeob 459",4
"eeob 438",4
"eeob 435",4
"eeob 421",4
"eeob 418",4
"eeob 411",4
"eeob 393",4
"eeob 389",4
"eeob 361",4
"eeob 311",4
"eeob 23a",4
"eeob 218a",4
"eeob 168",4
"eeob 162",4
"eeob 154",4
"eeo 205",4
"ee",4
"ebr east",4
"e w",4
"e executiv",4
"drivers",4
"cr 545",4
"counsel",4
"cooling to",4
"convention",4
"chiefs mes",4
"bowling ee",4
"book selle",4
"b1, b2",4
"b065",4
"94/walkth",4
"94 eeob",4
"93",4
"9200",4
"92",4
"91116",4
"9015",4
"9",4
"8a truman",4
"8215",4
"8205",4
"80a",4
"8035",4
"6215",4
"6113",4
"6102",4
"6001e",4
"587",4
"576",4
"562a",4
"559",4
"554 neob",4
"552a",4
"552",4
"538",4
"530/32",4
"5235b",4
"523",4
"5228",4
"52224",4
"5203.0",4
"5171",4
"51066",4
"5021",4
"50001",4
"493 a",4
"476 eo",4
"474 / itr",4
"460a",4
"452",4
"445a",4
"441b",4
"434 339",4
"430c",4
"4155",4
"411a",4
"404.0",4
"4018",4
"4002",4
"37truman",4
"374 (sms s",4
"373",4
"356",4
"351 eeob",4
"350.0",4
"349",4
"343meeting",4
"341 eeob",4
"3313",4
"330b 476",4
"3304",4
"32201",4
"320",4
"3105",4
"3015 / gcr",4
"3014",4
"3012",4
"3010",4
"2nd florr",4
"2d floor w",4
"289 a",4
"280.0",4
"27bowling",4
"261.5",4
"2244",4
"224 (nec)",4
"2226",4
"222 eeob",4
"2211/ikes",4
"2200 cafet",4
"208 eeob",4
"206/ whmo",4
"205 eeob",4
"202 east",4
"2008.0",4
"20008",4
"2 fl",4
"1st/ww",4
"1st & 2nd",4
"180 eeob",4
"160a",4
"158",4
"157family",4
"15&e stree",4
"13ew",4
"138 eeob",4
"132.0",4
"114.0",4
"11",4
"10231",4
"10206",4
"102 / wh m",4
"101a",4
"100 ew",4
"100 east w",4
"100 a",4
"04b",4
"039bowlin",4
"038",4
"037b",4
"037/ruman",4
"019, ll",4
"wwwmess",3
"wwm",3
"ww`ward ro",3
"ww/vpotus",3
"ww/navy m",3
"ww/marine",3
"ww/gf",3
"ww/blue ro",3
"ww/ oval",3
"ww/ 1st fl",3
"ww.navy me",3
"ww wing lo",3
"ww vjs o",3
"ww susan r",3
"ww souza",3
"ww soeechw",3
"ww rm 223",3
"ww pete so",3
"ww ofc",3
"ww nec fro",3
"ww lobbby",3
"ww grnd fl",3
"ww cos sui",3
"ww cos o",3
"ww 2nd cou",3
"ww 1",3
"ww - upper",3
"ww-navy me",3
"ww-gf",3
"whte house",3
"whsr ecr",3
"whgfl",3
"wh state f",3
"wh press l",3
"wh mess/gi",3
"wh mansion",3
"wh east ro",3
"wh briefin",3
"wh & eeob",3
"westwing,",3
"westwing n",3
"west wing tour",3
"weat wing",3
"w16",3
"w exec (wh",3
"w exec",3
"vpotus ww office",3
"vpotus wes",3
"vp ww office",3
"vp offive",3
"treaty roo",3
"tr445",3
"the west w",3
"the navy m",3
"sw gate/we",3
"stay in ve",3
"state place parking",3
"state palc",3
"state fl/",3
"sow226",3
"sow 230 b",3
"souvenier",3
"south conf",3
"sob 230b",3
"sms374",3
"sms tbd",3
"sms spaces",3
"sms execut",3
"sitrm",3
"sit. room",3
"sca/oval",3
"sca (sikh",3
"sb235",3
"sb 222",3
"sb 220",3
"s.grounds",3
"s. ct aud",3
"s. courti",3
"rose gardn",3
"room#10235",3
"room# 1023",3
"room 528 e",3
"room 274",3
"room 218",3
"room 212",3
"room 208",3
"room 176",3
"room 058",3
"room #488",3
"room #362",3
"room #360",3
"room #358",3
"room #224",3
"room # 520",3
"roof/anten",3
"rm94",3
"rm.20",3
"rm 5200 5",3
"rm 37",3
"rm 3202",3
"rm 236",3
"residence clinic",3
"res cinic",3
"press area",3
"portico",3
"piv office",3
"palm rm/re",3
"ovp office",3
"oval and w",3
"opso ww",3
"ola",3
"o37",3
"nss lower",3
"nsc lower",3
"north hall",3
"neobcr45",3
"neob5th f",3
"neob400",3
"neob//5th",3
"neob pent",3
"neob libra",3
"neob j3 ca",3
"neob cr 40",3
"neob chill",3
"neob b208",3
"neob 7325",3
"neob 551",3
"neob 533",3
"neob 5013",3
"neob 4221",3
"neob 420",3
"neob 3019",3
"nay mess",3
"navy steps",3
"naval mess",3
"n. grounds",3
"n&s ground",3
"messww",3
"mess lunch",3
"mess dinin",3
"med clinic",3
"marine 1",3
"lower west",3
"lowe press",3
"lisa monac",3
"library/rm",3
"lf/ww",3
"lcorum",3
"kennedy ga",3
"itr (4)",3
"indian tr",3
"holiday ea",3
"gsa fire s",3
"ground 1s",3
"grnd flr w",3
"gfl",3
"g102/libr",3
"fsib (9th",3
"floor 1 ww",3
"floor 1 co",3
"fam theat",3
"ewrooseve",3
"ew202",3
"ew102 and so",3
"ew/kennedy",3
"ew/208",3
"ew/200",3
"ew/ 200",3
"ew ground",3
"ew basemen",3
"ew and res",3
"ew 200 (fl",3
"ew 109",3
"eop east r",3
"eer",3
"eeod d3",3
"eeob94",3
"eeob55",3
"eeob450",3
"eeob415",3
"eeob273",3
"eeob234",3
"eeob184",3
"eeob156",3
"eeob112",3
"eeob/16",3
"eeob s.cou",3
"eeob roo",3
"eeob 98",3
"eeob 91",3
"eeob 89",3
"eeob 58",3
"eeob 55011",3
"eeob 5",3
"eeob 477b",3
"eeob 467",3
"eeob 456",3
"eeob 45",3
"eeob 440",3
"eeob 437",3
"eeob 417",3
"eeob 39",3
"eeob 362",3
"eeob 340",3
"eeob 329",3
"eeob 318",3
"eeob 30",3
"eeob 278",3
"eeob 270",3
"eeob 244",3
"eeob 240",3
"eeob 225",3
"eeob 22",3
"eeob 213",3
"eeob 209",3
"eeob 1st a",3
"eeob 191",3
"eeob 156",3
"eeob 155",3
"eeob 152",3
"eeob 141",3
"eeob 135",3
"eeob 125",3
"eeob 123",3
"eeob 104a",3
"eeob 086",3
"eeob 019",3
"eeo 430",3
"eeeob 474",3
"eatery (se",3
"eastexec/h",3
"east wing 112",3
"east wiing",3
"e.execuv",3
"e.exec ave",3
"e. exec dr",3
"e street/p",3
"e executi",3
"dutch 230a",3
"driver",3
"dpc suite",3
"diproom",3
"dip recept",3
"dining mes",3
"didlake of",3
"deputy cos",3
"dcos",3
"cr550a",3
"cr 493a",3
"cr 400",3
"cr 3015",3
"comms",3
"comm cente",3
"cat walk t",3
"cabinetroo",3
"building t",3
"bsb conf t",3
"b208 melwo",3
"b-208",3
"97/residen",3
"96",3
"94 (whmu o",3
"9216",3
"9113",3
"9025.0",3
"88 and 89",3
"8222 neob",3
"8112",3
"8011",3
"79a",3
"747",3
"7228.0",3
"7203.0",3
"7103",3
"66225",3
"64013",3
"6225 conf",3
"6223",3
"61199",3
"6115",3
"6036",3
"6035",3
"6019",3
"6000",3
"5880",3
"55897",3
"557",3
"553 or 554",3
"543",3
"533 neob",3
"52innovat",3
"5234",3
"5224a",3
"5224.0",3
"5208.0",3
"519.20000000000005",3
"516.20000000000005",3
"5113.0",3
"504.3",3
"499 (tbd)",3
"497.0",3
"495a",3
"492 eeob",3
"491a",3
"482.0",3
"477a",3
"474 it roo",3
"474 eeob",3
"463a",3
"457a",3
"455a",3
"430am",3
"4235",3
"4226",3
"4224",3
"4210",3
"421.0",3
"4204",3
"42018",3
"4201",3
"4120",3
"410.2",3
"409.4",3
"4050",3
"4032",3
"4:00",3
"391",3
"382 eeob",3
"374/itr",3
"374/eeob",3
"365",3
"360 eeob",3
"343 eeob",3
"33113",3
"3232",3
"323",3
"322",3
"3207",3
"32.0",3
"316.0",3
"3102",3
"307.0",3
"3032",3
"3029",3
"3017",3
"3015.0",3
"30/tables",3
"30/ikes e",3
"3",3
"2ndfloor",3
"2nd flr",3
"293",3
"289.0",3
"287.0",3
"281.0",3
"261a",3
"243`",3
"238a",3
"233.0",3
"2324",3
"230bc",3
"230b cfr",3
"230a`",3
"2302",3
"226sb",3
"226 eeob",3
"222.0",3
"221b",3
"2211b/ocfo",3
"2211 cafet",3
"2211 b",3
"214",3
"212 east w",3
"211 east w",3
"210a",3
"204/ew",3
"204.0",3
"203g",3
"2020.0",3
"2020 and l",3
"200.0",3
"2 floor ww",3
"19.0",3
"188/bowlin",3
"186.0",3
"181.0",3
"172 eeob",3
"148b",3
"143b",3
"13a ew she",3
"128",3
"115a",3
"115 b",3
"112.0",3
"1110",3
"111.0",3
"110.0",3
"10239",3
"102036",3
"100025",3
"1000",3
"048",3
"039 truman",3
"019 upper",3
"015",3
"#97 #94",3
"your offic",2
"wwvalerie",2
"wwrr",2
"wwmark ch",2
"wwl",2
"wwgrdfl",2
"wwcos off",2
"ww/whmess",2
"ww/ward r",2
"ww/vps off",2
"ww/vp suit",2
"ww/visitor",2
"ww/sit. r",2
"ww/press b",2
"ww/mess di",2
"ww/first l",2
"ww/curator",2
"ww/brady",2
"ww// 2nd f",2
"ww.wardroo",2
"ww vpotus",2
"ww vp rece",2
"ww the mes",2
"ww suite",2
"ww souza o",2
"ww recepti",2
"ww press r",2
"ww press",2
"ww nsa sui",2
"ww mess/pf",2
"ww m",2
"ww kibbt",2
"ww gr fl s",2
"ww g floor",2
"ww avril h",2
"ww 2fl and",2
"ww 210",2
"ww 200",2
"ww 1st flr",2
"ww 1st cos",2
"ww 1sr flo",2
"ww 121",2
"ww // 2nd",2
"ww / pebbl",2
"ww / nsa",2
"ww / navy",2
"ww / mess",2
"ww / eeob",2
"ww (blue b",2
"ww - groun",2
"ww-whmess",2
"ww- wh mes",2
"whw2nd flo",2
"whtour",2
"whsr/west",2
"whsr large",2
"who ew100",2
"whnmess",2
"whmo hq (e",2
"wh/ww",2
"wh/navy me",2
"wh/22nd fl",2
"wh ww tour",2
"wh palm ro",2
"wh mess/ww",2
"wh lower l",2
"wh gym",2
"west/east",2
"west wubg",2
"west wng",2
"west wi ng",2
"west / eas",2
"w.exec & u",2
"vptous off",2
"vps west w",2
"vpotusoff",2
"vp ww 1st",2
"vp west wing office",2
"vp suite w",2
"vp's west",2
"ut101",2
"usher offi",2
"trneoboa",2
"trick or t",2
"trek offi",2
"training r",2
"tr 474",2
"test",2
"tcf",2
"subbaseme",2
"stateplac",2
"state plas",2
"state fl/s",2
"state d.r.",2
"staff room",2
"sow 230",2
"souza west",2
"souza offi",2
"souh court",2
"social off",2
"so court",2
"sitroom jf",2
"sit room w",2
"sit room e",2
"simas offi",2
"shelter",2
"sers offi",2
"scaz",2
"sb2",2
"salon",2
"s. grnds",2
"rr room",2
"roosevlet",2
"room 98",2
"room 77",2
"room 74",2
"room 6101",2
"room 558",2
"room 493",2
"room 484",2
"room 467",2
"room 4208",2
"room 393",2
"room 32",2
"room 3113",2
"room 3004",2
"room 30",2
"room 248",2
"room 240",2
"room 206",2
"room 202b",2
"room 2020",2
"room 100",2
"room 060",2
"room 027",2
"room #481",2
"room #428",2
"room #425",2
"room #364",2
"room #360a",2
"room #359",2
"room #230a",2
"room # 037",2
"rm. 68 eeo",2
"rm. 20",2
"rm. 130",2
"rm 89",2
"rm 62",2
"rm 5200",2
"rm 367",2
"rm 32",2
"rm 316",2
"rm 233",2
"rm 2211/ca",2
"rm 020",2
"rm",2
"residince",2
"residence-",2
"res/south",2
"res. denta",2
"pressbrie",2
"press secr",2
"ppr/3rd",2
"physicans",2
"physical s",2
"photo",2
"phils off",2
"peoc ebr",2
"penn avenu",2
"patio",2
"ovp ww",2
"ovel offic",2
"oval dinin",2
"osep 4th f",2
"orientatio",2
"ola office",2
"ola ew 107",2
"oeob 474i",2
"oeob 37 tr",2
"ocfo conf",2
"oa 4th flo",2
"o 10.5",2
"o-18",2
"o-15",2
"nsd room",2
"nsc ofc",2
"nps pony s",2
"north law",2
"noeb 4th f",2
"nneob",2
"neoboa54",2
"neobcr40",2
"neob8116",2
"neob454",2
"neob3020",2
"neob roof",2
"neob rm #3",2
"neob lv1",2
"neob loadi",2
"neob healt",2
"neob elect",2
"neob cr54",2
"neob cc",2
"neob cafer",2
"neob 9026",2
"neob 8225",2
"neob 6002",2
"neob 5th",2
"neob 553",2
"neob 545",2
"neob 4220",2
"neob 3002",2
"neob 2nd f",2
"neob 2200",2
"nec 2nd fl",2
"navy mess/west wing",2
"nany mess",2
"mess dinni",2
"melwood of",2
"meg freshw",2
"meeting ro",2
"madison/h",2
"lunch room",2
"lower ww l",2
"lower leve",2
"lock shop",2
"library/52",2
"library 1s",2
"level b-1",2
"large coll",2
"jo handels",2
"jfk confer",2
