Caller Last Name,n
ABDELNABI,378
ACKERMAN,95
ADAME,112
ADURY,140
AGUILERA,16
AHMAD,125
ALCORN,36
ALEXANDER,86
ALFONSO,209
AMATOS,64
AMIN,193
AMOS,160
ANDERSON,24
ANDERSONGUNIA,2
ANGLIM,4
AQUECHE,19
ARMSTRONG,49
ASHE,15
ASHWORTH,1
ASKINS,107
AUSTIN,45
BAEZ,50
BAEZ ALAYON,7
BAILEY,8
BAKER,1
BALLEN,2376
BAMBERG,23
BANNER,12
BARRETT,5
BARRINGER,1
BARSHALOM,4
BARTO,9
BARTON,1
BAXLEY,4
BAYLESS,5
BEAN,6
BEASLEY,4
BEATTY,15
BEDREGAL,44
BELKIND,86
BELL,22
BENDER,275
BERGER,96
BERNSTEIN,112
BHATTACHARYA,32
BIALEK,1
BILLE,5
BILLINGS,24
BLACK,24
BLANTON,60
BOBBSEMPLE,1
BOHNSACK,1
BOLAND,147
BOLDS,10
BONAVINA,63
BOSARGE,25
BOTELLO,56
BOWMAN,61
BRACKEN,21
BRAMMER,20
BRANN,139
BRANSON,11
BRANT,12
BRAUN,6
BRAY,6
BRIGHAM,1
BRISTOL,369
BROCKBANK,186
BROOKS,29
BROWN,465
BROWNE,137
BRUCE,1
BRYAN,22
BUCCI,121
BUENROSTRO-AVILA,27
BULLOCK,9
BURGESS,3
BURGESSGREGG,1053
BURNETT,107
BURNHAM,470
BURTON,331
BUTASH,34
BUTLER,6028
BYERS,35
BYON,43
BYRD,22
CAHILL,4
CALLANAN,30
CAMPANA,8
CARABELLO,33
CARACAPPA,4
CARMICHAEL,2
CARPENTER,22
CARRASQUILLO,169
CARROLL,8
CARSON,2
CARTER,1
CASILLAS,31
CASSINGHAM,22
CASTANEDA,67
CASTILLO,168
CASTRO,126
CHADHA,12
CHALLACOMBE,10
CHAPMAN,65
CHARLESWORTH,51
CHASE,68
CHASEZ,39
CHICARELLA,1
CHIU,83
CHO,1
CHON,224
CHRISTIAN,67
CLARK,33
CLARKE,84
CLAUSEN,5
CLEMENTE,24
COARI,146
COBB,12
COBLENTZ,1
COLE,1757
COLEMAN,992
COLTON,493
COMERFORD,6
COMPTON,82
CONDON,30
CONRAD,82
COOPER,15
CORBISIERO,28
COSTELLO,461
COURTNEY,6
COX,2
CRAVARITIS,9
CRAWFORD,12
CREASAP,1
CREMISIO,20
CRITTENDON,12
CROWLEY,1
CROXTON,113
CURTIN,1
DAHN,13
DALMYRA,2
DANIELS,7
DANSKYBARI,3
DAPHNIS,27
DARCANGELO,1
DAVENPORT,6
DAVIDA,1647
DAVIN,159
DAVIS,362
DEAN,36
DEARMOND,5
DEFOREST,206
DELCOCO,7
DEMERS,4
DEMING,826
DENARO,33
DENNIS,6
DENNISON,65
DESCH,106
DICKSON,1
DIEN,459
DIETRICH,760
DINSMORE,24
DIRKSEN,715
DOIRON,95
DONATELLI,1
DONILON,615
DORNBUSH,88
DORSEY,3
DORTCH,1
DOUGLAS,2
DOXTATER,31
DRISCOLL,33
DROEGE,21
DUARTE,9
DUBIN,2
DUBLIN,6
DUNCAN,176
DURAN,500
EDGERTON,530
EGER-ADGENT,3
EISEMANN,431
ENG,46
EPPERSON,38
EPSTEIN,1
ERICKSON,19
ESTRADA,47
EVANS,3
EVERETTE,41
FABINA,40
FAMA,3
FANNING,8
FASANO,711
FEAGANS,8
FELDMAN,42
FELDMANN,7
FICHTER,10
FIGUEROA,269
FINKELSTEIN,172
FINNEGAN,5
FINNEY,390
FISCHIETTO,18
FITZGERALD,29
FITZPATRICK,7
FLEMING,6
FLETCHER,12
FLEURENCE,2
FOKSINSKI,8
FORNI,2
FORRESTER,49
FOWLER,1
FRANCO,3
FRANKLIN,14
FREDELL,60
FREELAND,4
FREEMAN,5
FRICCHIONE,7
FROMSTEIN,77
FUKA,2
FULDAUER,18
FUNK,10
GAINES,4
GAINEY,43
GALVIN,31
GANDY,1
GAO,7
GARCIA,16
GARNER,137
GARUFI,2
GELFOND,296
GENDRON,16
GENSMER,277
GEYER,38
GHAFFARIAN,2
GIAMMARELLA,27
GILMORE,5
GILTNER,24
GINGRICH,289
GINS,140
GLISSON,1
GODDARD,40
GOHLKE,9
GOLDENSOHN,50
GOLDSTEIN,9
GONSALVES,2
GONZALEZ,1388
GOOD,121
GOODHUE,326
GRAY,15
GREBIN,1
GRECO,14
GREENSPAN,33
GRIFFIN,126
GRISHAM,14
GROSSNICKLAUS,27
GROUM,668
GROVE,276
GUY,1
HA,324
HALL,71
HALLISEY,35
HALTON,18
HAMLETT,26
HAMMERSCHMIDT,32
HANEY,4
HANSEN,168
HARLEY,185
HARNLY,45
HARRINGTON,2
HARRIS,61
HART,628
HARVEY,50
HATCHER,8
HAUGH,85
HAYASHI-SMITH,11
HAYES,3
HENAGAN,40
HENDERSON,30
HENNESSEY,32
HENRY,87
HEPLER,7
HICKEY,7
HILL,32
HIMESMULL,1
HINES,15
HO,16
HOCHMAN,67
HOLBROOK,2
HOOKS,43
HOOVER,1
HORN,250
HORNCASTLE,1070
HORTON,118
HUDGINS,2
HUGHES,59
HUNT,53
INFURCHIA,18
ISEN,1113
JACKSON,4
JACOB,125
JAEGER,2
JAMES,121
JENKINS,37
JERMSTAD,4
JOHNSON,6330
JOHNSTON,26
JONES,330
JOSEPH,608
JOYCE,925
JUAREZ,175
kalina,21
KATZ,1
KEEFFE,4
KELLER,3
KELSEY,1
KENDALL,27
KERN,83
KERRIGAN,73
KHAN,1178
KIENTZLE,887
KIKUKAWA,13
KIM,65
KING JR.,3
KLETZIEN,38
KNIGHT,1978
KOLAKOWSKI,140
KRAKOWIAK,34
KRUPKIN,163
KUCK,4
KUSESKI,10
KWAK,170
LABITZKY,32
LAMB,65
LAMM,4
LANG,524
LANGNER,15
LARANCE,357
LARSEN,28
LATINIS,18
LAWS,7
LEACH,1
LEBOWITZ,5
LEE,17639
LEIGHTON,5
LEISERSON,419
LEMIEUX,1
LEON,6
LEVY,59
LEWIS,71
LI,357
LIGHTFOOT,9
LILAC,29
LILJENWALL,16
LILLIS,2
LIN,33
LINDBLAD,7
LINDENZWEIG,4
LINDER,13
LINDSEY,38
LITTLE,96
LIU,177
LOCKE,89
LONGLEY,16
LOPEZ,36
LOWDEN,13
LOWE,41
LOZANO,1
LUCAS,2
LUNDEGREN,11
MACKLIN,841
MADDOX,12
MADSEN,4
MAJUMDER,73
MALEY,14
MAO,20
MARCONI,173
MARKHAM,3
MARTIN,18
MARTINEZ,7
MATHES,266
MAUSS,19
MAY,74
MAZZEO,12
MCBEAN,19
MCCALL,34
MCCARRON,4
MCCARTHY,105
MCCORMICK,69
MCCRARY,21
MCCUBBIN,8
MCDONALD,31
MCFALL,634
MCGLOIN,26
MCINTEE,333
MCINTOSH,9
MCKAY,23
MCKINNEY,6
MCLAURIN,658
MCMILLAN,22
MCMULLAN,28
MCNAIR,1
MCQUEEN,1
MCTEAR,74
MCWILLIAMS,22
MEDINA,4
MEGNA,52
MELLUL,11
MELOSKI,389
MENSAH,13
MENZELOS,32
MICALLEF,3
MICHEL,153
MIELKE,286
MILLER,1907
MILLIKEN,17
MILLONES,341
MILLS,2837
MIRELESBEUZE,57
MIRETTI,4
MITCHELL,95
MITTELSTAEDT,133
MOLINA,172
MONTOYA,8
MOON,38
MOORE,6
MORGAN,466
MORITSUGU,6
MORRIS,31
MORRISON,217
MUGGELBERG,1
MULUGHETA,29
MURPHY,56
MURRAY,19
"NADEEM",582
"NAPUE",55
"NARANJO",36
"NARAYANAN",49
"NAULIN",5
NEE,17
NELSON,1198
NEWMAN,1
NEWMANROGERS,5
NEWTON,706
NEYMAN,147
NGUYEN,1
NIGHTENGALE,76
NOBLE,34
NOLAN,4
NORDMAN,8
NURTHEN,1
OFFICE,22
OGAN,15
OKANE,76
