Total People,n
1,20252
10,4161
100,781
102,101
103,103
104,420
106,294
108,216
109,215
11,2646
111,109
112,435
113,338
115,228
1157,1154
117,117
1181,1165
119,119
12,3022
121,91
124,122
126,126
128,126
13,2064
135,135
136,268
1373,1344
139,139
14,1970
141,282
146,288
149,143
15,1878
150,150
151,142
1547,1418
156,156
159,159
16,1572
163,160
169,321
1696,1658
17,1465
171,161
1710,1099
175,161
179,170
18,1427
182,233
183,164
19,1550
196,348
198,194
2,24558
20,2280
201,194
208,205
21,975
211,237
213,209
214,212
2162,1660
218,213
22,1173
229,229
23,847
230,212
24,963
2424,1825
25,992
254,246
26,852
27,985
271,224
28,762
29,1022
3,19904
30,1336
301,299
302,297
31,807
312,266
313,285
32,720
321,317
327,320
329,314
33,522
34,516
349,342
35,719
357,342
36,488
366,297
37,404
370,360
376,366
38,265
39,505
4,27571
40,957
41,286
414,401
42,748
420,398
43,333
430,421
44,482
4478,4340
448,433
449,440
45,405
46,297
47,324
48,651
49,1123
5,18630
50,1596
51,305
511,402
517,377
52,151
53,368
54,322
55,381
56,361
57,394
58,290
59,155
6,21885
60,593
61,241
62,60
621,576
63,251
64,236
65,189
66,396
67,313
68,252
69,280
7,7029
70,482
703,703
71,376
72,415
73,581
74,418
75,251
76,278
77,274
78,636
79,381
8,4853
80,633
802,782
81,336
82,398
827,622
83,571
84,416
840,757
85,533
86,333
87,261
870,702
88,268
89,432
9,3930
90,148
91,286
93,93
94,319
95,374
96,315
961,751
97,664
98,584
99,679
NA,43
