NAMEMID,n
a,21753
b,6583
c,11016
d,10239
e,12117
f,3867
g,5430
h,4800
i,1913
j,17104
k,6148
l,14556
m,21760
n,67996
o,1424
p,5753
q,219
r,12089
s,9663
t,5580
u,178
v,1834
w,5170
x,225
y,1225
z,505
