POD,n
A01,407
A0101,406
A04,526
A0401,96
A05,8676
A0501,180
B04,21853
B0401,1053
B0402,21
B1101,3
D03,2152
D03A,10
D1101,45
D1102,2
K01,2673
K0101,28
K0102,26
K0103,24
K0104,19
K0501,3
VP001,2
VP005,3
NA,210939
