Meeting Room,n
712 jackson place,2
712 Jackson Place,29
712 Jackson Place 3r,5
712 Jackson Place NW,15
71246,1
712n Jackson Place,1
716,4
716 Jackson Place Ro,1
716JP Room 103,5
7202,1
7208,2
7215,8
7216,1
7217,7
7228,5
7235,4
7236,10
730,11
730  Jackson Place,3
730 Jackso,96
730 Jackson Pl,4
730 Jackson Place,163
730 Jackson Place 1s,7
730 Jackson Place Ba,11
730 Jackson Place Co,9
730 Jackson Place Fi,1
730 JP,73
730 JP  1s,3
730 PLace,7
734 JP,5
734 JP 2nd,3
736,33
736 Jackso,4
736 JP,26
74,5
76,231
76a,3
77,18
77/79,1
78,10
79,105
7th floor,1
8,3
80,93
8001,11
8002,5
8013,1
8025,2
8026,7
81,5
8116,5
8202,9
8211,14
8211 and 4208,2
8215,1
8225,4
8235,3
8236,4
85,2
86,8
88,37
89,6
90,3
9001,99
9002,3
9003,1
9005,2
9008,1
9010,3
9011,10
9011b,4
9012,12
9014,9
9016,1
9018,9
9020,1
9025,3
9030,9
9040,1
9044,2
9047,8
9058,1
91,1
9113,1
92,1
9201,1
9210,1
9211,2
9217,4
9218,6
9220,1
9226,1
9230,2
9240,3
9241,1
9243,1
9258,174
9264,1
9268,12
9270,5
9274,1
93,1
94,141
9528,2
96-WHMU me,3
97,542
97-WHMU Cl,6
97-WHMU Me,4
97 - WHMU,2
97 COVID,1
97 Medical,1
97 WHMU,8
9th floor,16
A1,1
AirOps Rm,1
AirOps RM,1
AIROPS RM,1
All,3
APNSA Offi,5
APNSA office,1
APNSA Office,3
APNSA Suit,16
APNSA Sullivan Suite,4
B-27 RES,3
B01,2
B1 Carpent,1
B19,4
B25,86
Badge Issuance,1
Badge Room,1
Badging Of,1
Balcon,1
basement,1
Basement,198
Basement and first f,34
Basement first floor,31
Basement First Floor,15
Basement/ 1st Floor,4
Basement/1,19
Basement/1st Floor,16
Basement/2,1
Basement/P,6
Basement/Pool Deck,2
BH,1
Blair Hous,1
BLDG 16,2
Bldg 19,1
BLDG 19,14
BLDG 19 PARKING LOT,1
BLDG 91,4
Bldg. 19,3
Blue Room,1
Bookseller,1
Bowling Alley,4
Bowling Alley - 037,660
BR,23
Brian Deeses Office,1
Briefing,1
Briefing R,74
Briefing Room,14
BRITISH EM,1
BRs Office,1
Bruce Reeds Office,1
Building 1,3
BUILDING 1,36
Building 19,5
BUILDING 19,9
BUILDING 5,1
BUILDING 9,1
Cabinet,1
Cabinet Affairs Balc,1
Cabinet Ro,4
Cabinet Room,2
Cafe,9
Cafeteria,17
Ceremonial,111
Ceremonial Office,32
Chief Ushe,4
