RELEASEDATE,n
2021-05-07,400
2021-06-01,1064
2021-06-29,1215
2021-07-29,1509
2021-08-30,1742
2021-10-01,2154
2021-11-01,5616
2021-12-03,2094
2022-01-07,2671
2022-02-04,2858
2022-03-11,4608
2022-04-13,15474
2022-05-04,1184
2022-05-31,2155
2022-07-01,6063
2022-08-02,13519
2022-08-30,20099
2022-10-04,17396
2022-10-31,39758
2022-11-30,31035
2022-12-30,37254
2023-01-30,39277
2023-02-28,27929
2023-03-30,87018
NA,2
