Middle Initial,n
A,31580
B,9572
C,15878
D,14680
E,17610
F,5754
G,7871
H,6920
I,2787
J,24384
K,8687
L,21120
M,31783
n,42
N,101836
O,2109
P,8498
Q,373
R,17446
S,14059
T,8102
U,268
V,2704
W,7259
X,327
Y,1735
Z,710
