POD,n
A01,544
A0101,452
A04,640
A0401,120
A05,11324
A0501,201
B04,27902
B0401,1092
B0402,34
B1101,3
D03,2684
D03A,10
D1101,51
D1102,6
K01,3154
K0101,28
K0102,26
K0103,27
K0104,28
K0501,3
VP001,3
VP005,14
NA,315748
